Assembly	Athal2_filtered
# contigs (>= 0 bp)	47790
# contigs (>= 1000 bp)	3635
# contigs (>= 5000 bp)	2224
# contigs (>= 10000 bp)	1751
# contigs (>= 25000 bp)	1101
# contigs (>= 50000 bp)	645
Total length (>= 0 bp)	120795868
Total length (>= 1000 bp)	112717868
Total length (>= 5000 bp)	109385318
Total length (>= 10000 bp)	105972113
Total length (>= 25000 bp)	95215483
Total length (>= 50000 bp)	79081448
# contigs	4955
Largest contig	815331
Total length	113601835
GC (%)	35.99
N50	92283
N90	15759
auN	137398.3
L50	318
L90	1452
# N's per 100 kbp	9.08
