task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
3	a9/debf62	4002867	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	arabidopsis_thaliana_sub.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-08 23:49:54.328	2025-06-08 23:49:54.420	2025-06-08 23:49:55.811	1.5s	0ms	-	677.8%	0.0%	7.8 MB	92.2 MB	7.8 MB	92.2 MB	7.2 MB	2.7 KB	820	30	7.4 MB	16 KB	28	1	/home/marthasudermann/pathogensurveillance/work/a9/debf62834de71d6eb9b935a409a49e	-	-
4	7e/2be1b6	4003303	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Athal1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-08 23:49:55.832	2025-06-08 23:49:55.912	2025-06-08 23:50:09.559	13.7s	12.6s	-	642.0%	0.7%	861.3 MB	4.4 GB	861.3 MB	4.5 GB	3.9 GB	3.2 GB	322566	105270	11.2 MB	80 KB	18856	6528	/home/marthasudermann/pathogensurveillance/work/7e/2be1b6e3f0e45329952d73014dbebc	-	-
5	b3/80fd94	4003295	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Athal2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-08 23:49:55.830	2025-06-08 23:49:55.911	2025-06-08 23:50:09.631	13.8s	12.4s	-	659.9%	0.7%	864.7 MB	4.5 GB	864.7 MB	4.5 GB	3.9 GB	3.2 GB	322292	105261	400 KB	80 KB	19284	7354	/home/marthasudermann/pathogensurveillance/work/b3/80fd943d118155ff29cc5da43ddf2a	-	-
6	e3/aa6c73	4003312	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Athal3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-08 23:49:55.834	2025-06-08 23:49:55.912	2025-06-08 23:50:09.753	13.9s	12.3s	-	660.5%	0.7%	864.8 MB	4.5 GB	864.8 MB	4.6 GB	3.9 GB	3.2 GB	324393	105349	1.4 MB	80 KB	17659	8835	/home/marthasudermann/pathogensurveillance/work/e3/aa6c737c4129cd4c694ea55f60aa7d	-	-
7	0c/554f9f	4007436	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Athal1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-08 23:50:09.572	2025-06-08 23:50:09.631	2025-06-08 23:50:12.337	2.8s	1s	-	354.0%	0.0%	29.5 MB	4.3 GB	29.5 MB	4.3 GB	13.8 MB	14.6 KB	1489	53	200 KB	36 KB	6	3	/home/marthasudermann/pathogensurveillance/work/0c/554f9f081a84c4f91e94b6ed380080	-	-
9	dc/03e327	4007484	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Athal3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-08 23:50:09.760	2025-06-08 23:50:09.853	2025-06-08 23:50:12.495	2.7s	1s	-	326.3%	0.0%	58.3 MB	4.4 GB	60.8 MB	4.4 GB	13.8 MB	14.6 KB	1489	53	756 KB	36 KB	19	7	/home/marthasudermann/pathogensurveillance/work/dc/03e327c188b4eb2bb23dd20fb47aaa	-	-
8	d0/b735a5	4007460	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Athal2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-08 23:50:09.638	2025-06-08 23:50:09.731	2025-06-08 23:50:12.579	2.9s	1s	-	431.9%	0.0%	17 MB	4.3 GB	17 MB	4.3 GB	13.8 MB	14.6 KB	1489	53	0	36 KB	7	1	/home/marthasudermann/pathogensurveillance/work/d0/b735a56a51a1e83dd08dfee444c29c	-	-
12	84/4401ff	4008848	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Athal1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-08 23:50:12.591	2025-06-08 23:50:12.680	2025-06-08 23:50:14.098	1.5s	0ms	-	621.4%	0.0%	58.2 MB	4.4 GB	58.2 MB	4.4 GB	6.2 MB	21.3 KB	765	37	0	24 KB	7	8	/home/marthasudermann/pathogensurveillance/work/84/4401ffcd43ba15f2b241fae7c59eb6	-	-
14	51/34a277	4008868	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Athal2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-08 23:50:12.598	2025-06-08 23:50:12.680	2025-06-08 23:50:14.204	1.6s	0ms	-	797.2%	0.0%	17.8 MB	4.3 GB	17.8 MB	4.3 GB	6.2 MB	21.3 KB	765	37	12 KB	24 KB	8	0	/home/marthasudermann/pathogensurveillance/work/51/34a277ce0adaf86d51f5ca00eabb9b	-	-
13	8d/5e8c27	4008855	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Athal3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-08 23:50:12.595	2025-06-08 23:50:12.680	2025-06-08 23:50:14.283	1.7s	0ms	-	403.3%	0.0%	21.2 MB	4.3 GB	21.2 MB	4.3 GB	6.2 MB	21.3 KB	765	37	0	24 KB	5	6	/home/marthasudermann/pathogensurveillance/work/8d/5e8c273d8fa002c2e36563779733a8	-	-
