task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
1	71/fe4e17	597000	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	bradyrhizobium_japonica_sub.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-06 16:36:04.492	2025-06-06 16:36:04.518	2025-06-06 16:36:06.537	2s	1s	-	680.6%	0.0%	18.2 MB	4.3 GB	18.2 MB	4.3 GB	7.2 MB	2.7 KB	820	30	0	16 KB	7	1	/home/marthasudermann/pathogensurveillance/work/71/fe4e1748066e71d8b8b29fee412033	-	-
6	5d/e256bd	597434	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Brady3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-06 16:36:06.559	2025-06-06 16:36:06.638	2025-06-06 16:36:09.963	3.4s	2s	-	219.4%	0.6%	796.3 MB	4.5 GB	796.3 MB	4.6 GB	114.6 MB	82.2 MB	12190	2758	0	80 KB	13	1	/home/marthasudermann/pathogensurveillance/work/5d/e256bd62a802fa29c6e6b8e6fe026c	-	-
5	3d/806bcd	597445	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Brady2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-06 16:36:06.561	2025-06-06 16:36:06.639	2025-06-06 16:36:10.565	4s	2.7s	-	294.8%	0.7%	877.8 MB	4.5 GB	877.8 MB	4.6 GB	277.9 MB	214.2 MB	26047	7005	0	80 KB	13	0	/home/marthasudermann/pathogensurveillance/work/3d/806bcdadbebd639af8593a79118843	-	-
4	0e/651778	597427	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Brady1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-06 16:36:06.556	2025-06-06 16:36:06.637	2025-06-06 16:36:10.652	4.1s	2.6s	-	314.1%	0.7%	883.4 MB	4.6 GB	883.4 MB	4.6 GB	326.2 MB	236.7 MB	29595	7715	0	80 KB	13	0	/home/marthasudermann/pathogensurveillance/work/0e/651778803750bc5342b80d75690761	-	-
7	4a/cc94fe	598788	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Brady3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-06 16:36:09.976	2025-06-06 16:36:10.063	2025-06-06 16:36:12.229	2.3s	1s	-	412.4%	0.0%	21.2 MB	4.3 GB	21.2 MB	4.3 GB	13.8 MB	8.2 KB	1489	51	0	28 KB	7	2	/home/marthasudermann/pathogensurveillance/work/4a/cc94fe4861a3898b58c4c408147735	-	-
9	f3/b4f7d0	598995	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Brady1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-06 16:36:10.659	2025-06-06 16:36:10.752	2025-06-06 16:36:12.744	2.1s	1s	-	442.6%	0.0%	25.5 MB	4.3 GB	25.5 MB	4.3 GB	13.8 MB	8.1 KB	1489	51	0	28 KB	7	4	/home/marthasudermann/pathogensurveillance/work/f3/b4f7d09d83e84dae0912c3704f496a	-	-
8	33/a324c2	598965	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Brady2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-06 16:36:10.573	2025-06-06 16:36:10.652	2025-06-06 16:36:12.934	2.4s	1s	-	459.6%	0.0%	27.8 MB	4.3 GB	27.8 MB	4.3 GB	13.8 MB	8.1 KB	1489	51	0	28 KB	7	3	/home/marthasudermann/pathogensurveillance/work/33/a324c2564d41c20e19c92f1e32d290	-	-
14	9c/4563e7	600119	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Brady2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-06 16:36:12.950	2025-06-06 16:36:13.035	2025-06-06 16:36:14.517	1.6s	0ms	-	893.7%	0.0%	21.2 MB	4.3 GB	21.2 MB	4.3 GB	6.7 MB	28.9 KB	901	38	0	28 KB	7	3	/home/marthasudermann/pathogensurveillance/work/9c/4563e7892c71f1dbeb1727496139da	-	-
12	05/79bd5c	600112	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Brady3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-06 16:36:12.947	2025-06-06 16:36:13.034	2025-06-06 16:36:14.612	1.7s	1s	-	708.5%	0.0%	23.5 MB	4.3 GB	23.5 MB	4.3 GB	6.7 MB	28.9 KB	901	38	0	28 KB	7	1	/home/marthasudermann/pathogensurveillance/work/05/79bd5ccccc4b86cc54052abfb0ff6b	-	-
13	8a/32c1f7	600129	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Brady1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-06 16:36:12.952	2025-06-06 16:36:13.035	2025-06-06 16:36:14.733	1.8s	1s	-	621.2%	0.0%	31 MB	4.3 GB	31 MB	4.3 GB	6.7 MB	28.9 KB	901	38	0	28 KB	7	5	/home/marthasudermann/pathogensurveillance/work/8a/32c1f7d714083e275558c24d799574	-	-
