task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
2	d4/c4d454	3198705	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	caenorhabditis_elegans_sub.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-03 12:07:28.730	2025-06-03 12:07:28.814	2025-06-03 12:07:30.940	2.2s	0ms	-	653.4%	0.0%	18.8 MB	4.3 GB	18.8 MB	4.3 GB	7.2 MB	2.7 KB	820	30	0	16 KB	7	2	/home/marthasudermann/pathogensurveillance/work/d4/c4d454fc9e805bc3d77c991bfd2258	-	-
5	5f/8e6a4f	3199401	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Celg2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-03 12:07:30.964	2025-06-03 12:07:31.041	2025-06-03 12:07:45.921	15s	13.6s	-	643.3%	0.7%	863.4 MB	4.5 GB	863.5 MB	4.6 GB	4 GB	3.3 GB	331976	109149	676 MB	80 KB	25402	13391	/home/marthasudermann/pathogensurveillance/work/5f/8e6a4f362cc81c8e0cb0c5b99d65ea	-	-
6	88/e2dd0b	3199385	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Celg3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-03 12:07:30.960	2025-06-03 12:07:31.040	2025-06-03 12:07:46.066	15.1s	13.9s	-	626.9%	0.7%	861 MB	4.4 GB	861 MB	4.5 GB	4 GB	3.3 GB	330605	109167	696 MB	116 KB	25185	12964	/home/marthasudermann/pathogensurveillance/work/88/e2dd0b02f72250ee891af003a181f1	-	-
4	5d/7988ff	3199392	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Celg1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-03 12:07:30.962	2025-06-03 12:07:31.041	2025-06-03 12:07:46.314	15.4s	13.4s	-	637.1%	0.7%	863.3 MB	4.5 GB	863.3 MB	4.6 GB	4.1 GB	3.3 GB	338432	108825	0	80 KB	18228	9593	/home/marthasudermann/pathogensurveillance/work/5d/7988ff269b5ad03d37b12ef16a8e4f	-	-
7	c3/63e10e	3205207	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Celg2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-03 12:07:45.934	2025-06-03 12:07:46.021	2025-06-03 12:07:48.304	2.4s	1s	-	310.7%	0.1%	88.2 MB	4.5 GB	88.2 MB	4.6 GB	13.8 MB	9.2 KB	1489	51	0	28 KB	27	11	/home/marthasudermann/pathogensurveillance/work/c3/63e10e65ab8dfa5571ce92de58aa3f	-	-
8	ac/93c99b	3205242	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Celg3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-03 12:07:46.073	2025-06-03 12:07:46.166	2025-06-03 12:07:48.382	2.3s	1s	-	347.9%	0.0%	61 MB	4.4 GB	61 MB	4.4 GB	13.8 MB	9.3 KB	1489	51	0	28 KB	24	3	/home/marthasudermann/pathogensurveillance/work/ac/93c99bc129484767ce40803b849a80	-	-
9	96/60e478	3205432	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Celg1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-03 12:07:46.323	2025-06-03 12:07:46.414	2025-06-03 12:07:49.104	2.8s	1s	-	278.8%	0.1%	87.5 MB	4.5 GB	87.5 MB	4.6 GB	13.8 MB	9.4 KB	1489	51	0	28 KB	25	22	/home/marthasudermann/pathogensurveillance/work/96/60e478b93f06df5ab43ec0d8b25142	-	-
19	f5/c00e9d	3207044	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Celg3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-03 12:07:49.120	2025-06-03 12:07:49.205	2025-06-03 12:07:51.076	2s	0ms	-	661.0%	0.0%	18 MB	4.3 GB	18 MB	4.3 GB	8.2 MB	45.7 KB	1272	40	0	36 KB	7	3	/home/marthasudermann/pathogensurveillance/work/f5/c00e9d5ea5626420852b1e4b019b0a	-	-
20	09/8d9c02	3207050	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Celg1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-03 12:07:49.122	2025-06-03 12:07:49.206	2025-06-03 12:07:51.988	2.9s	1s	-	213.1%	0.1%	134.3 MB	4.5 GB	138.2 MB	4.5 GB	21.8 MB	66.3 KB	4757	43	0	48 KB	14	20	/home/marthasudermann/pathogensurveillance/work/09/8d9c020df49c8e77f1a54db92091da	-	-
18	b5/fb6c7e	3207037	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Celg2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-03 12:07:49.117	2025-06-03 12:07:49.205	2025-06-03 12:07:52.065	2.9s	1s	-	212.6%	0.1%	143.8 MB	4.5 GB	143.8 MB	4.5 GB	21.8 MB	66.3 KB	4757	43	0	48 KB	12	114	/home/marthasudermann/pathogensurveillance/work/b5/fb6c7e78ebf084027d53c9e49fc6a9	-	-
128	81/aff264	3208840	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_003860525_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-03 12:07:52.260	2025-06-03 12:07:52.269	2025-06-03 12:07:56.469	4.2s	3s	-	181.9%	0.1%	110.1 MB	4.4 GB	110.1 MB	4.4 GB	61.4 MB	166.2 KB	6403	37	0	172 KB	7	89	/home/marthasudermann/pathogensurveillance/work/81/aff2640a46abc3042c0653480642c9	-	-
127	af/4ddac1	3208910	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_034424645_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-03 12:07:52.274	2025-06-03 12:07:52.366	2025-06-03 12:07:57.209	4.9s	3s	-	183.7%	0.1%	108.3 MB	4.4 GB	109.2 MB	4.4 GB	61.5 MB	191.8 KB	6417	37	0	196 KB	7	118	/home/marthasudermann/pathogensurveillance/work/af/4ddac17be2b9b7d0673c839b33191d	-	-
154	86/0b9a30	3208967	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_004014855_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-03 12:07:52.282	2025-06-03 12:07:52.367	2025-06-03 12:07:57.422	5.1s	3s	-	183.6%	0.1%	109.3 MB	4.4 GB	109.3 MB	4.4 GB	61.4 MB	168 KB	6404	37	0	172 KB	7	129	/home/marthasudermann/pathogensurveillance/work/86/0b9a301297459a26e8509c0a4b229e	-	-
131	74/8f45a6	3208860	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_965137335_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-03 12:07:52.265	2025-06-03 12:07:52.364	2025-06-03 12:07:57.710	5.4s	3s	-	173.5%	0.1%	106.7 MB	4.4 GB	107.6 MB	4.4 GB	61.3 MB	153.3 KB	6396	37	0	160 KB	7	227	/home/marthasudermann/pathogensurveillance/work/74/8f45a65b2a3a778fdb5ee5250367b8	-	-
123	32/9a6c3e	3208818	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_007556835_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-03 12:07:52.252	2025-06-03 12:07:52.268	2025-06-03 12:07:58.064	5.8s	3s	-	160.4%	0.1%	107.2 MB	4.4 GB	108.9 MB	4.4 GB	61.5 MB	179.6 KB	6411	37	0	184 KB	7	88	/home/marthasudermann/pathogensurveillance/work/32/9a6c3ead957a532bc6829c45aec24b	-	-
