task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
1	c6/65da1e	716240	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	cucumis_satvius_sub.csv	COMPLETED	0	-	docker.io/zacharyfoster/main-report-r-packages:0.20	1	1h	-	1 GB	1	2025-06-23 07:37:08.756	2025-06-23 07:37:08.788	2025-06-23 07:37:11.035	2.3s	510ms	-	80.6%	0.0%	3.8 MB	54.8 MB	3.8 MB	54.8 MB	13.3 MB	3.5 KB	1398	43	28.2 MB	20 KB	61	0	/home/marthasudermann/pathogensurveillance/work/c6/65da1e719a1059075c2f4c3a1c2988	-	-
5	20/c5740f	716756	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Csativus2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	2 GB	1	2025-06-23 07:37:11.059	2025-06-23 07:37:11.136	2025-06-23 07:37:25.434	14.4s	12.7s	-	642.9%	0.8%	1 GB	7.7 GB	1 GB	7.7 GB	4.4 GB	3.5 GB	368860	114995	8.7 MB	80 KB	12021	7580	/home/marthasudermann/pathogensurveillance/work/20/c5740fd9cc735ed6888e92dd04639c	-	-
6	19/c57f61	716747	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Csativus3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	2 GB	1	2025-06-23 07:37:11.055	2025-06-23 07:37:11.135	2025-06-23 07:37:25.609	14.6s	12.8s	-	633.3%	0.8%	1013.8 MB	7.5 GB	1013.8 MB	7.5 GB	4.3 GB	3.5 GB	369079	115015	39.3 MB	80 KB	12143	8651	/home/marthasudermann/pathogensurveillance/work/19/c57f61320fbea8630538066c324a59	-	-
4	e4/e479eb	716766	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Csativus1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	2 GB	1	2025-06-23 07:37:11.062	2025-06-23 07:37:11.136	2025-06-23 07:37:25.738	14.7s	12.7s	-	639.8%	0.8%	1 GB	7.7 GB	1 GB	7.7 GB	4.3 GB	3.5 GB	368731	115035	6.9 MB	80 KB	12399	7584	/home/marthasudermann/pathogensurveillance/work/e4/e479eb88b7e88d560a7af8d6b78829	-	-
7	84/1a6bb9	721577	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Csativus2	FAILED	1	-	docker.io/zacharyfoster/main-report-r-packages:0.20	1	1h	-	1 GB	1	2025-06-23 07:37:25.451	2025-06-23 07:37:25.534	2025-06-23 07:37:26.870	1.4s	1.3s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	/home/marthasudermann/pathogensurveillance/work/84/1a6bb903f26eafd0f6ff2cfec1cbfc	-	RETRY
9	3e/e254fd	721779	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Csativus1	FAILED	1	-	docker.io/zacharyfoster/main-report-r-packages:0.20	1	1h	-	1 GB	1	2025-06-23 07:37:25.747	2025-06-23 07:37:25.839	2025-06-23 07:37:27.500	1.8s	1.7s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	/home/marthasudermann/pathogensurveillance/work/3e/e254fde99085302ef661f3e0400fa3	-	RETRY
8	f9/35eb81	721669	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Csativus3	FAILED	1	-	docker.io/zacharyfoster/main-report-r-packages:0.20	1	1h	-	1 GB	1	2025-06-23 07:37:25.618	2025-06-23 07:37:25.709	2025-06-23 07:37:27.600	2s	1.9s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	/home/marthasudermann/pathogensurveillance/work/f9/35eb81afcde445055a12fc3913e9ac	-	RETRY
10	ee/ca3ec4	722238	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Csativus2	COMPLETED	0	-	docker.io/zacharyfoster/main-report-r-packages:0.20	1	2h	-	2 GB	2	2025-06-23 07:37:26.881	2025-06-23 07:37:26.964	2025-06-23 07:37:53.730	26.8s	1.1s	-	42.8%	0.0%	58.2 MB	176 MB	58.2 MB	176 MB	20.1 MB	17.9 KB	2407	74	1020 KB	40 KB	31	3	/home/marthasudermann/pathogensurveillance/work/ee/ca3ec4828f6675454eadd5b59d4bbc	-	-
11	1c/096301	722600	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Csativus1	COMPLETED	0	-	docker.io/zacharyfoster/main-report-r-packages:0.20	1	2h	-	2 GB	2	2025-06-23 07:37:27.506	2025-06-23 07:37:27.600	2025-06-23 07:37:54.280	26.8s	999ms	-	45.8%	0.0%	20 MB	69.6 MB	20 MB	69.6 MB	20.1 MB	17.9 KB	2406	74	0	40 KB	5	0	/home/marthasudermann/pathogensurveillance/work/1c/0963016074ea1c554c4f25b54163fb	-	-
12	c9/fedcc1	722627	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Csativus3	COMPLETED	0	-	docker.io/zacharyfoster/main-report-r-packages:0.20	1	2h	-	2 GB	2	2025-06-23 07:37:27.606	2025-06-23 07:37:27.699	2025-06-23 07:37:54.423	26.8s	1s	-	45.5%	0.0%	19.8 MB	69.2 MB	19.8 MB	69.2 MB	20.1 MB	17.9 KB	2406	74	0	40 KB	5	0	/home/marthasudermann/pathogensurveillance/work/c9/fedcc1a871f934c0594ce957b7371b	-	-
17	58/d3b12b	725630	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Csativus3	COMPLETED	0	-	docker.io/zacharyfoster/main-report-r-packages:0.20	1	2h	-	4 GB	1	2025-06-23 07:37:54.437	2025-06-23 07:37:54.523	2025-06-23 07:37:55.596	1.2s	254ms	-	104.5%	0.0%	18.8 MB	68.4 MB	18.8 MB	68.4 MB	12.3 MB	28.5 KB	1433	54	92 KB	32 KB	6	2	/home/marthasudermann/pathogensurveillance/work/58/d3b12b378555112d6c64459dc68dfd	-	-
16	ad/75ba60	725640	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Csativus1	COMPLETED	0	-	docker.io/zacharyfoster/main-report-r-packages:0.20	1	2h	-	4 GB	1	2025-06-23 07:37:54.440	2025-06-23 07:37:54.524	2025-06-23 07:37:55.932	1.5s	254ms	-	100.1%	0.0%	20.5 MB	70.3 MB	20.5 MB	70.3 MB	12.3 MB	28.5 KB	1433	54	0	32 KB	5	3	/home/marthasudermann/pathogensurveillance/work/ad/75ba60e960c50e0bcf1a5049142d60	-	-
15	c3/6f31e7	725650	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Csativus2	COMPLETED	0	-	docker.io/zacharyfoster/main-report-r-packages:0.20	1	2h	-	4 GB	1	2025-06-23 07:37:54.443	2025-06-23 07:37:54.524	2025-06-23 07:37:56.015	1.6s	261ms	-	97.7%	0.0%	20 MB	69.7 MB	20 MB	69.7 MB	12.3 MB	28.5 KB	1433	54	0	32 KB	5	0	/home/marthasudermann/pathogensurveillance/work/c3/6f31e711b7d471f673dec72ac0ce89	-	-
77	f0/95acb6	726665	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCA_049863445_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-23 07:37:56.130	2025-06-23 07:37:56.216	2025-06-23 07:38:13.923	17.8s	17s	-	192.1%	0.4%	466.3 MB	6.8 GB	466.3 MB	6.8 GB	152.1 MB	13.1 MB	15561	37	110.2 MB	13.1 MB	1855	660	/home/marthasudermann/pathogensurveillance/work/f0/95acb61a2be0f3ff0c3889d13e8621	-	-
60	64/fcb3a3	727026	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_001995035_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-23 07:37:56.171	2025-06-23 07:37:56.221	2025-06-23 07:38:16.726	20.6s	17s	-	171.4%	0.1%	192.8 MB	6.5 GB	192.8 MB	6.6 GB	143.9 MB	11.7 MB	15176	37	83.3 MB	11.7 MB	153	974	/home/marthasudermann/pathogensurveillance/work/64/fcb3a3efe17647a9388be3d4fe2b14	-	-
59	d7/213ae6	726974	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCA_025688845_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-23 07:37:56.166	2025-06-23 07:37:56.220	2025-06-23 07:38:16.870	20.7s	17s	-	188.3%	0.4%	524.2 MB	6.8 GB	524.5 MB	6.8 GB	150.3 MB	12.6 MB	15531	37	89.7 MB	12.6 MB	127	754	/home/marthasudermann/pathogensurveillance/work/d7/213ae6c9250c1d021ea702691352d1	-	-
