"ref_id"	"ref_name"	"ref_description"	"ref_ncbi_accession"	"ref_ncbi_query"	"ref_ncbi_query_max"	"ref_primary_usage"	"ref_contextual_usage"	"ref_color_by"	"ref_enabled"
"GCA_012295215_1"	"Luffa acutangula"	"Luffa acutangula GCA_012295215.1"	"GCA_012295215.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_039644935_1"	"Citrullus ecirrhosus"	"Citrullus ecirrhosus GCA_039644935.1"	"GCA_039644935.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_039644915_1"	"Citrullus mucosospermus"	"Citrullus mucosospermus GCA_039644915.1"	"GCA_039644915.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_037974545_1"	"Cucumis variabilis"	"Cucumis variabilis GCA_037974545.1"	"GCA_037974545.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_049181415_1"	"Diplocyclos schliebenii"	"Diplocyclos schliebenii GCA_049181415.1"	"GCA_049181415.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_037974625_1"	"Cucumis cinereus"	"Cucumis cinereus GCA_037974625.1"	"GCA_037974625.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_009727055_1"	"Benincasa hispida"	"Benincasa hispida GCF_009727055.1 R"	"GCF_009727055.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_020536105_1"	"Gynostemma pentaphyllum"	"Gynostemma pentaphyllum GCA_020536105.1"	"GCA_020536105.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_963978565_1"	"Citrullus colocynthis"	"Citrullus colocynthis GCA_963978565.1"	"GCA_963978565.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_039644925_1"	"Citrullus rehmii"	"Citrullus rehmii GCA_039644925.1"	"GCA_039644925.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_049176875_1"	"Ampelosycios humblotii"	"Ampelosycios humblotii GCA_049176875.1"	"GCA_049176875.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_000004075_3"	"Cucumis sativus"	"Cucumis sativus GCF_000004075.3 R"	"GCF_000004075.3"	""	""	"optional"	"optional"	""	"TRUE"
