task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
1	04/975b7a	3226484	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	fusarium_oxysporum_sub.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-21 09:03:24.805	2025-05-21 09:03:24.866	2025-05-21 09:03:27.343	2.5s	0ms	-	494.1%	0.0%	3.5 MB	50.2 MB	3.5 MB	50.2 MB	7.2 MB	2.7 KB	820	30	3.8 MB	16 KB	13	0	/home/marthasudermann/pathogensurveillance/work/04/975b7aed6cfc00ef2a975002126e3d	-	-
4	c2/b1b31c	3227258	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Fus1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-21 09:03:27.366	2025-05-21 09:03:27.444	2025-05-21 09:03:36.055	8.7s	7.4s	-	545.5%	0.7%	885.3 MB	4.5 GB	885.3 MB	4.6 GB	1.6 GB	1.3 GB	134565	44047	270.4 MB	80 KB	9471	3055	/home/marthasudermann/pathogensurveillance/work/c2/b1b31c1c1f165c53e8447c19b461d3	-	-
5	ab/214182	3227249	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Fus2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-21 09:03:27.364	2025-05-21 09:03:27.444	2025-05-21 09:03:36.369	9s	6.9s	-	587.1%	0.7%	890.9 MB	4.6 GB	890.9 MB	4.6 GB	1.6 GB	1.3 GB	136271	44056	270.7 MB	80 KB	9495	5995	/home/marthasudermann/pathogensurveillance/work/ab/2141821af466018eb2c8f81db28905	-	-
6	d0/81dfc1	3227241	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Fus3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-21 09:03:27.362	2025-05-21 09:03:27.443	2025-05-21 09:03:36.541	9.2s	7s	-	593.5%	0.7%	889.6 MB	4.6 GB	889.6 MB	4.6 GB	1.6 GB	1.3 GB	136439	44309	222.7 MB	80 KB	8965	5731	/home/marthasudermann/pathogensurveillance/work/d0/81dfc18edf390749dd4b47061d2ce7	-	-
7	17/c7d93c	3230709	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Fus1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-21 09:03:36.069	2025-05-21 09:03:36.154	2025-05-21 09:03:38.174	2.1s	1s	-	456.2%	0.0%	16.2 MB	4.3 GB	16.2 MB	4.3 GB	13.8 MB	13.1 KB	1489	52	960 KB	32 KB	8	2	/home/marthasudermann/pathogensurveillance/work/17/c7d93ce2605fc85cf91a0dffa956b8	-	-
9	28/d5e686	3230896	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Fus3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-21 09:03:36.548	2025-05-21 09:03:36.641	2025-05-21 09:03:39.365	2.8s	0ms	-	292.1%	0.0%	19 MB	4.3 GB	19 MB	4.3 GB	13.8 MB	13.1 KB	1489	52	0	32 KB	7	0	/home/marthasudermann/pathogensurveillance/work/28/d5e686afd82aef42d6ee08f70e9322	-	-
8	ed/3878ef	3230788	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Fus2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-21 09:03:36.377	2025-05-21 09:03:36.470	2025-05-21 09:03:39.461	3.1s	1s	-	262.7%	0.0%	25.5 MB	4.3 GB	25.5 MB	4.3 GB	13.8 MB	13.1 KB	1489	52	0	32 KB	7	5	/home/marthasudermann/pathogensurveillance/work/ed/3878efa19ee856ad016f716ada261d	-	-
14	9b/08bfab	3232040	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Fus1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-21 09:03:39.475	2025-05-21 09:03:39.561	2025-05-21 09:03:40.834	1.4s	0ms	-	835.0%	0.0%	21.8 MB	4.3 GB	21.8 MB	4.3 GB	7.4 MB	47.2 KB	1066	40	0	36 KB	7	2	/home/marthasudermann/pathogensurveillance/work/9b/08bfab039eed4da3987d1e06e3bcc6	-	-
15	92/40847f	3232056	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Fus3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-21 09:03:39.480	2025-05-21 09:03:39.562	2025-05-21 09:03:41.008	1.5s	0ms	-	660.1%	0.0%	20 MB	4.3 GB	20 MB	4.3 GB	7.4 MB	47.2 KB	1066	40	0	36 KB	7	4	/home/marthasudermann/pathogensurveillance/work/92/40847fe12705fbde859e7a80b91392	-	-
16	00/d53afb	3232047	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Fus2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-21 09:03:39.478	2025-05-21 09:03:39.562	2025-05-21 09:03:41.127	1.6s	0ms	-	449.3%	0.0%	34 MB	4.4 GB	34 MB	4.4 GB	7.4 MB	47.2 KB	1066	40	0	36 KB	5	12	/home/marthasudermann/pathogensurveillance/work/00/d53afb63deecd7d0eb5981075e243c	-	-
95	52/7d9866	3233239	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_039530735_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-05-21 09:03:41.279	2025-05-21 09:03:41.330	2025-05-21 09:03:46.161	4.9s	3s	-	163.0%	0.1%	106.4 MB	4.4 GB	107.1 MB	4.4 GB	61.5 MB	189 KB	6416	37	1.2 MB	196 KB	115	83	/home/marthasudermann/pathogensurveillance/work/52/7d9866f6fcc83320ba19401ac24865	-	-
113	5b/417e53	3233308	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_000197735_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-05-21 09:03:41.290	2025-05-21 09:03:41.331	2025-05-21 09:03:46.290	5s	3s	-	172.9%	0.1%	111.3 MB	4.4 GB	111.3 MB	4.4 GB	61.6 MB	192 KB	6423	37	1.3 MB	196 KB	131	87	/home/marthasudermann/pathogensurveillance/work/5b/417e533e315774b6243ad9ea372662	-	-
87	89/7d5da7	3233378	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_003575975_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-05-21 09:03:41.301	2025-05-21 09:03:41.332	2025-05-21 09:03:46.723	5.4s	3s	-	161.1%	0.1%	107.8 MB	4.4 GB	108.3 MB	4.4 GB	61.4 MB	175.6 KB	6408	37	0	180 KB	7	281	/home/marthasudermann/pathogensurveillance/work/89/7d5da79ca3e05ffcde6f53300a6a5c	-	-
101	92/bfc97b	3233439	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_006094695_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-05-21 09:03:41.309	2025-05-21 09:03:41.334	2025-05-21 09:03:47.366	6.1s	3s	-	154.2%	0.1%	107.7 MB	4.4 GB	108.4 MB	4.4 GB	61.5 MB	199.8 KB	6424	37	768 KB	204 KB	7	134	/home/marthasudermann/pathogensurveillance/work/92/bfc97b62e58bc5deebb9bb89430b10	-	-
114	4d/f565c9	3233255	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_003703835_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-05-21 09:03:41.282	2025-05-21 09:03:41.331	2025-05-21 09:03:47.533	6.3s	3s	-	174.8%	0.1%	107.6 MB	4.4 GB	108.8 MB	4.4 GB	61.2 MB	134.3 KB	6382	37	0	140 KB	7	98	/home/marthasudermann/pathogensurveillance/work/4d/f565c92ef7b4fd8d01b62683bdd0e6	-	-
96	28/8a831e	3233185	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCA_013618305_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-05-21 09:03:41.262	2025-05-21 09:03:41.329	2025-05-21 09:03:47.854	6.6s	4s	-	173.3%	0.1%	121 MB	6.5 GB	121 MB	6.5 GB	71.7 MB	1.8 MB	7436	37	7.2 MB	1.8 MB	808	237	/home/marthasudermann/pathogensurveillance/work/28/8a831e84001bfd6c3c7cb6f1ad5110	-	-
