task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
1	44/d1a842	3104596	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	limosilactobacillus_fermentum_sub.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-20 14:55:58.248	2025-05-20 14:55:58.312	2025-05-20 14:55:59.914	1.7s	0ms	-	630.5%	0.0%	18.5 MB	4.3 GB	18.5 MB	4.3 GB	7.2 MB	2.7 KB	820	30	0	16 KB	7	1	/home/marthasudermann/pathogensurveillance/work/44/d1a842a4255680aeefdf99e4e81c7b	-	-
6	76/fc995d	3105268	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Limo3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-20 14:55:59.938	2025-05-20 14:56:00.015	2025-05-20 14:56:03.656	3.7s	1.7s	-	197.4%	0.6%	715.1 MB	4.4 GB	715.1 MB	4.4 GB	80.6 MB	51.9 MB	10083	1786	0	80 KB	13	0	/home/marthasudermann/pathogensurveillance/work/76/fc995d6524e04ec884c8c1e8fe6daa	-	-
4	b3/32ada3	3105259	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Limo1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-20 14:55:59.936	2025-05-20 14:56:00.015	2025-05-20 14:56:04.059	4.1s	1.6s	-	206.5%	0.5%	700.1 MB	4.3 GB	700.1 MB	4.3 GB	58 MB	36.3 MB	8165	1284	0	80 KB	13	0	/home/marthasudermann/pathogensurveillance/work/b3/32ada3230892abf70889cc36337d17	-	-
5	7c/af252c	3105252	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Limo2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-20 14:55:59.933	2025-05-20 14:56:00.014	2025-05-20 14:56:04.105	4.2s	1.6s	-	201.3%	0.6%	714.5 MB	4.3 GB	714.5 MB	4.3 GB	80.8 MB	51.9 MB	10048	1783	0	80 KB	13	1	/home/marthasudermann/pathogensurveillance/work/7c/af252cf18d301a873b54617e932e0f	-	-
7	6d/28b9c9	3107008	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Limo3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-20 14:56:03.669	2025-05-20 14:56:03.756	2025-05-20 14:56:06.338	2.7s	1s	-	424.5%	0.0%	17.2 MB	4.3 GB	17.2 MB	4.3 GB	13.8 MB	8 KB	1489	51	0	28 KB	7	4	/home/marthasudermann/pathogensurveillance/work/6d/28b9c9a9a1f6328619e8aab85af7b0	-	-
8	8f/9eb0ba	3107110	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Limo1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-20 14:56:04.067	2025-05-20 14:56:04.105	2025-05-20 14:56:06.571	2.5s	1s	-	417.7%	0.0%	16.8 MB	4.3 GB	16.8 MB	4.3 GB	13.8 MB	8 KB	1489	51	0	28 KB	7	2	/home/marthasudermann/pathogensurveillance/work/8f/9eb0ba80b86795f2c18aa52583d3ac	-	-
9	9d/5980c8	3107129	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Limo2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-20 14:56:04.113	2025-05-20 14:56:04.205	2025-05-20 14:56:07.091	3s	1s	-	393.0%	0.0%	18.5 MB	4.3 GB	18.5 MB	4.3 GB	13.8 MB	8 KB	1489	51	0	28 KB	7	0	/home/marthasudermann/pathogensurveillance/work/9d/5980c8eb612eccf3bd273738214366	-	-
14	65/483441	3108605	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Limo3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-20 14:56:07.104	2025-05-20 14:56:07.192	2025-05-20 14:56:09.221	2.1s	1s	-	322.0%	0.0%	20.8 MB	4.3 GB	20.8 MB	4.3 GB	15.2 MB	65.8 KB	3068	43	0	48 KB	7	3	/home/marthasudermann/pathogensurveillance/work/65/483441a494ea6c2cca5a16b8dfc965	-	-
15	2d/b5178f	3108611	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Limo1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-20 14:56:07.106	2025-05-20 14:56:07.192	2025-05-20 14:56:09.528	2.4s	1s	-	333.6%	0.0%	16.8 MB	4.3 GB	16.8 MB	4.3 GB	15.2 MB	65.8 KB	3068	43	0	48 KB	7	2	/home/marthasudermann/pathogensurveillance/work/2d/b5178fe849528324e0d31287e7b9f6	-	-
16	b8/98a1c6	3108620	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Limo2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-20 14:56:07.109	2025-05-20 14:56:07.193	2025-05-20 14:56:09.616	2.5s	1s	-	332.5%	0.0%	17.2 MB	4.3 GB	17.2 MB	4.3 GB	15.2 MB	65.8 KB	3068	43	0	48 KB	7	1	/home/marthasudermann/pathogensurveillance/work/b8/98a1c631ea9abdca8c1ab123211af9	-	-
