task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
3	eb/8ca3b1	2403967	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	ostreococcus_tauri_sub.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-08 09:14:11.504	2025-06-08 09:14:11.632	2025-06-08 09:14:12.868	1.4s	0ms	-	681.7%	0.0%	8.2 MB	92.2 MB	8.2 MB	92.2 MB	7.2 MB	2.7 KB	820	30	3.8 MB	16 KB	28	0	/home/marthasudermann/pathogensurveillance/work/eb/8ca3b14199ce0ffc523aeeceb00ab2	-	-
6	8a/893cab	2404416	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Otaur3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-08 09:14:12.892	2025-06-08 09:14:12.969	2025-06-08 09:14:18.185	5.3s	3.8s	-	386.6%	0.7%	889.2 MB	4.6 GB	889.2 MB	4.6 GB	764.5 MB	606.8 MB	64788	19566	0	80 KB	636	127	/home/marthasudermann/pathogensurveillance/work/8a/893cab21893ef65d15ff9dd01fe3b0	-	-
4	ee/a61f50	2404399	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Otaur1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-08 09:14:12.887	2025-06-08 09:14:12.968	2025-06-08 09:14:18.276	5.4s	4.1s	-	364.4%	0.7%	882.8 MB	4.6 GB	883.8 MB	4.6 GB	763.8 MB	606 MB	64748	19532	4.8 MB	116 KB	479	136	/home/marthasudermann/pathogensurveillance/work/ee/a61f506e532f534d72d17b4609c9f4	-	-
5	ce/b72885	2404407	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Otaur2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-08 09:14:12.890	2025-06-08 09:14:12.969	2025-06-08 09:14:18.543	5.7s	3.7s	-	379.1%	0.7%	889.5 MB	4.6 GB	889.5 MB	4.6 GB	765.4 MB	607.5 MB	65211	19590	0	100 KB	558	372	/home/marthasudermann/pathogensurveillance/work/ce/b72885e1b776e493ef4819bab41099	-	-
7	be/45a051	2406233	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Otaur3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-08 09:14:18.197	2025-06-08 09:14:18.277	2025-06-08 09:14:20.825	2.6s	1s	-	482.7%	0.0%	16.8 MB	4.3 GB	16.8 MB	4.3 GB	13.8 MB	8.7 KB	1489	51	0	28 KB	7	0	/home/marthasudermann/pathogensurveillance/work/be/45a0519bdf276d3adec37035708c70	-	-
9	39/90dd96	2406286	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Otaur2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-08 09:14:18.550	2025-06-08 09:14:18.643	2025-06-08 09:14:21.078	2.5s	1s	-	513.1%	0.0%	21.2 MB	4.3 GB	21.2 MB	4.3 GB	13.8 MB	8.7 KB	1489	51	0	28 KB	7	1	/home/marthasudermann/pathogensurveillance/work/39/90dd960f9ff771d62c83c6e116ef13	-	-
8	9a/1f79e3	2406256	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Otaur1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-08 09:14:18.283	2025-06-08 09:14:18.377	2025-06-08 09:14:21.454	3.2s	2s	-	216.1%	0.1%	88 MB	4.5 GB	88 MB	4.6 GB	13.8 MB	8.7 KB	1489	51	928 KB	28 KB	72	31	/home/marthasudermann/pathogensurveillance/work/9a/1f79e3729603237edce389c64f08ce	-	-
22	04/b954cb	2407615	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Otaur1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-08 09:14:21.468	2025-06-08 09:14:21.554	2025-06-08 09:14:23.088	1.6s	0ms	-	456.1%	0.0%	15.8 MB	4.3 GB	15.8 MB	4.3 GB	9.3 MB	14 KB	1556	36	12 KB	20 KB	8	2	/home/marthasudermann/pathogensurveillance/work/04/b954cb79115b9b13333d4524d875f7	-	-
21	28/667bfa	2407622	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Otaur2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-08 09:14:21.471	2025-06-08 09:14:21.555	2025-06-08 09:14:23.238	1.8s	0ms	-	393.6%	0.0%	24.2 MB	4.3 GB	24.2 MB	4.3 GB	9.3 MB	14 KB	1556	36	0	20 KB	7	9	/home/marthasudermann/pathogensurveillance/work/28/667bfa49ddfe38a67c0cb0bc87425b	-	-
20	a9/d560cc	2407631	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Otaur3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-08 09:14:21.473	2025-06-08 09:14:21.555	2025-06-08 09:14:23.336	1.9s	0ms	-	291.7%	0.0%	26.2 MB	4.3 GB	26.2 MB	4.3 GB	9.3 MB	14.5 KB	1562	36	12 KB	20 KB	6	6	/home/marthasudermann/pathogensurveillance/work/a9/d560cc3cf4befe2426e6da63c37ac3	-	-
47	a9/7d8d26	2408842	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_000011965_2	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-08 09:14:23.410	2025-06-08 09:14:23.437	2025-06-08 09:14:27.147	3.7s	2s	-	217.4%	0.1%	150.7 MB	6.5 GB	150.7 MB	6.5 GB	61.7 MB	232.3 KB	6444	37	0	236 KB	17	209	/home/marthasudermann/pathogensurveillance/work/a9/7d8d26bc53cd65bed61dbc0001be48	-	-
