task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
3	50/64917b	767538	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	pseudomonas_aeruginosa_sub.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-07 19:20:24.062	2025-06-07 19:20:24.093	2025-06-07 19:20:26.156	2.1s	0ms	-	697.2%	0.0%	17 MB	4.3 GB	17 MB	4.3 GB	7.2 MB	2.8 KB	820	30	0	16 KB	7	0	/home/marthasudermann/pathogensurveillance/work/50/64917b9a44850a982eb541e2ceea35	-	-
6	bb/c024e9	768650	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Pseudo3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-07 19:20:26.181	2025-06-07 19:20:26.257	2025-06-07 19:20:30.062	3.9s	2.8s	-	261.4%	0.7%	886.1 MB	4.4 GB	886.1 MB	4.4 GB	240.4 MB	189.9 MB	22566	6219	0	80 KB	13	1	/home/marthasudermann/pathogensurveillance/work/bb/c024e979840174fc84a536cc7b1454	-	-
5	34/8897b7	768641	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Pseudo2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-07 19:20:26.179	2025-06-07 19:20:26.257	2025-06-07 19:20:30.747	4.6s	2.7s	-	257.4%	0.7%	888 MB	4.6 GB	888 MB	4.6 GB	270.9 MB	212.8 MB	25014	6944	0	80 KB	13	1	/home/marthasudermann/pathogensurveillance/work/34/8897b7318333c5316efe882e84495f	-	-
4	50/296bda	768633	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Pseudo1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-07 19:20:26.176	2025-06-07 19:20:26.256	2025-06-07 19:20:30.870	4.7s	2.7s	-	288.5%	0.7%	883.3 MB	4.4 GB	883.3 MB	4.4 GB	241.8 MB	189.8 MB	22540	6205	0	80 KB	13	2	/home/marthasudermann/pathogensurveillance/work/50/296bdad2d82df6e85e2a42f48c2090	-	-
7	b9/47a4f1	770915	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Pseudo3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-07 19:20:30.075	2025-06-07 19:20:30.161	2025-06-07 19:20:33.567	3.5s	2s	-	294.9%	0.1%	87.2 MB	4.5 GB	87.2 MB	4.6 GB	13.8 MB	8.8 KB	1489	51	0	28 KB	25	12	/home/marthasudermann/pathogensurveillance/work/b9/47a4f1f328dce0f42b9d766a1d994c	-	-
8	12/5fcc35	771234	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Pseudo2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-07 19:20:30.754	2025-06-07 19:20:30.847	2025-06-07 19:20:34.350	3.6s	1s	-	188.1%	0.1%	87.5 MB	4.5 GB	87.5 MB	4.6 GB	13.8 MB	8.8 KB	1489	51	0	28 KB	25	6	/home/marthasudermann/pathogensurveillance/work/12/5fcc35e5fe467360ffb35b1910516a	-	-
9	4d/69b87a	771288	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Pseudo1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-07 19:20:30.877	2025-06-07 19:20:30.970	2025-06-07 19:20:34.464	3.6s	2s	-	140.3%	0.1%	87.8 MB	4.5 GB	87.8 MB	4.6 GB	13.8 MB	8.8 KB	1489	51	0	28 KB	28	85	/home/marthasudermann/pathogensurveillance/work/4d/69b87a82742bd0446f6be4400472b1	-	-
13	6d/7772dd	773534	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Pseudo2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-07 19:20:34.477	2025-06-07 19:20:34.564	2025-06-07 19:20:37.436	3s	1s	-	217.0%	0.1%	135.8 MB	4.5 GB	135.8 MB	4.5 GB	20.1 MB	34.2 KB	4318	39	0	32 KB	13	12	/home/marthasudermann/pathogensurveillance/work/6d/7772ddb16dfcf3649f92a48b656afd	-	-
14	7d/74b3ef	773541	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Pseudo1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-07 19:20:34.479	2025-06-07 19:20:34.565	2025-06-07 19:20:37.640	3.2s	2s	-	219.1%	0.1%	135.4 MB	4.5 GB	135.4 MB	4.5 GB	20.1 MB	34.2 KB	4318	39	0	32 KB	13	70	/home/marthasudermann/pathogensurveillance/work/7d/74b3efab5882745b52995b36e946a9	-	-
12	da/6dad9c	773552	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Pseudo3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-07 19:20:34.481	2025-06-07 19:20:34.565	2025-06-07 19:20:37.765	3.3s	2s	-	216.1%	0.1%	135.9 MB	4.5 GB	135.9 MB	4.5 GB	20.1 MB	34.2 KB	4318	39	0	32 KB	13	9	/home/marthasudermann/pathogensurveillance/work/da/6dad9c453c7933836af861b2b97e93	-	-
