"ref_id"	"ref_name"	"ref_description"	"ref_ncbi_accession"	"ref_ncbi_query"	"ref_ncbi_query_max"	"ref_primary_usage"	"ref_contextual_usage"	"ref_color_by"	"ref_enabled"
"GCA_000686205_4"	"Phytophthora fragariae"	"Phytophthora fragariae GCA_000686205.4 T"	"GCA_000686205.4"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_004684055_1"	"Soehngenia longivitae"	"Soehngenia longivitae GCF_004684055.1 TR"	"GCF_004684055.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_000621705_1"	"Prolixibacter bellariivorans ATCC BAA-1284"	"Prolixibacter bellariivorans ATCC BAA-1284 GCF_000621705.1 TR"	"GCF_000621705.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_003991265_1"	"Pseudoperonospora humuli"	"Pseudoperonospora humuli GCA_003991265.1"	"GCA_003991265.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_000500205_2"	"Phytophthora lateralis"	"Phytophthora lateralis GCA_000500205.2 T"	"GCA_000500205.2"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_000281045_1"	"Saprolegnia diclina VS20"	"Saprolegnia diclina VS20 GCF_000281045.1 R"	"GCF_000281045.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_000247585_1"	"Phytophthora nicotianae INRA-310"	"Phytophthora nicotianae INRA-310 GCF_000247585.1 R"	"GCF_000247585.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_004101785_1"	"Gudongella oleilytica"	"Gudongella oleilytica GCF_004101785.1 TR"	"GCF_004101785.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_002933675_1"	"Sclerospora graminicola"	"Sclerospora graminicola GCA_002933675.1"	"GCA_002933675.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_035302765_1"	"Tissierellaceae bacterium"	"Tissierellaceae bacterium GCA_035302765.1"	"GCA_035302765.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_900129025_1"	"Mariniphaga anaerophila"	"Mariniphaga anaerophila GCF_900129025.1 TR"	"GCF_900129025.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_900000015_1"	"Plasmopara halstedii"	"Plasmopara halstedii GCF_900000015.1 R"	"GCF_900000015.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_009732905_1"	"Phytophthora rubi"	"Phytophthora rubi GCA_009732905.1"	"GCA_009732905.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_030324255_1"	"Phytophthora capsici"	"Phytophthora capsici GCA_030324255.1"	"GCA_030324255.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_022496125_1"	"Phytophthora vignae"	"Phytophthora vignae GCA_022496125.1"	"GCA_022496125.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_004359215_1"	"Bremia lactucae"	"Bremia lactucae GCF_004359215.1 R"	"GCF_004359215.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_900113005_1"	"Sunxiuqinia elliptica"	"Sunxiuqinia elliptica GCF_900113005.1 TR"	"GCF_900113005.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_042082265_1"	"Nothophytophthora amphigynosa"	"Nothophytophthora amphigynosa GCA_042082265.1 T"	"GCA_042082265.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_009762775_1"	"Maribellus comscasis"	"Maribellus comscasis GCF_009762775.1 TR"	"GCF_009762775.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_000149755_1"	"Phytophthora sojae"	"Phytophthora sojae GCF_000149755.1 R"	"GCF_000149755.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_000252605_1"	"Pseudoperonospora cubensis"	"Pseudoperonospora cubensis GCA_000252605.1 A"	"GCA_000252605.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_963665855_1"	"uncultured Draconibacterium sp."	"uncultured Draconibacterium sp. GCF_963665855.1 R"	"GCF_963665855.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_014385195_1"	"Paratissierella segnis"	"Paratissierella segnis GCF_014385195.1 TR"	"GCF_014385195.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_947650345_1"	"Peronospora destructor"	"Peronospora destructor GCA_947650345.1"	"GCA_947650345.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_002081575_1"	"Thraustotheca clavata"	"Thraustotheca clavata GCA_002081575.1"	"GCA_002081575.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_902479755_1"	"uncultured Tissierella sp."	"uncultured Tissierella sp. GCF_902479755.1 R"	"GCF_902479755.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_024679155_1"	"Phytophthora melonis"	"Phytophthora melonis GCA_024679155.1"	"GCA_024679155.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_016865095_1"	"Phytophthora idaei"	"Phytophthora idaei GCA_016865095.1"	"GCA_016865095.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_947650285_1"	"Hyaloperonospora brassicae"	"Hyaloperonospora brassicae GCA_947650285.1"	"GCA_947650285.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_002911725_1"	"Phytophthora palmivora"	"Phytophthora palmivora GCA_002911725.1"	"GCA_002911725.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_042082905_1"	"Phytophthora plurivora"	"Phytophthora plurivora GCA_042082905.1 T"	"GCA_042082905.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_000626635_1"	"Draconibacterium orientale"	"Draconibacterium orientale GCF_000626635.1 TR"	"GCF_000626635.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_008080845_1"	"Phytophthora kernoviae"	"Phytophthora kernoviae GCA_008080845.1 T"	"GCA_008080845.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_000142945_1"	"Phytophthora infestans T30-4"	"Phytophthora infestans T30-4 GCF_000142945.1 TR"	"GCF_000142945.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_002081595_1"	"Achlya hypogyna"	"Achlya hypogyna GCA_002081595.1"	"GCA_002081595.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_042082325_1"	"Phytophthora cinnamomi"	"Phytophthora cinnamomi GCA_042082325.1 T"	"GCA_042082325.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_003046625_1"	"Mangrovibacterium marinum"	"Mangrovibacterium marinum GCF_003046625.1 TR"	"GCF_003046625.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_026184515_1"	"Peronosclerospora sorghi"	"Peronosclerospora sorghi GCA_026184515.1"	"GCA_026184515.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_003287315_1"	"Phytophthora cactorum"	"Phytophthora cactorum GCA_003287315.1"	"GCA_003287315.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_042083155_1"	"Phytophthora x incrassata"	"Phytophthora x incrassata GCA_042083155.1"	"GCA_042083155.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_025722995_1"	"Phytophthora agathidicida"	"Phytophthora agathidicida GCA_025722995.1 T"	"GCA_025722995.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_035404565_1"	"Prolixibacteraceae bacterium"	"Prolixibacteraceae bacterium GCA_035404565.1"	"GCA_035404565.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_042082745_1"	"Phytophthora multivora"	"Phytophthora multivora GCA_042082745.1 T"	"GCA_042082745.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_900128955_1"	"Tissierella praeacuta DSM 18095"	"Tissierella praeacuta DSM 18095 GCF_900128955.1 TR"	"GCF_900128955.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_000520075_1"	"Aphanomyces astaci"	"Aphanomyces astaci GCF_000520075.1 R"	"GCF_000520075.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_004343245_1"	"Phytophthora ramorum"	"Phytophthora ramorum GCA_004343245.1 T"	"GCA_004343245.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCA_019155685_1"	"Phytophthora boehmeriae"	"Phytophthora boehmeriae GCA_019155685.1"	"GCA_019155685.1"	""	""	"optional"	"optional"	""	"TRUE"
"GCF_900120415_1"	"Urmitella timonensis"	"Urmitella timonensis GCF_900120415.1 RA"	"GCF_900120415.1"	""	""	"optional"	"optional"	""	"TRUE"
