task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
1	24/8056b3	826934	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	phytophthora_capsici_sub.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.4.0--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-15 21:17:50.767	2025-06-15 21:17:50.822	2025-06-15 21:17:53.271	2.5s	0ms	-	845.6%	0.0%	6 MB	92.4 MB	6 MB	92.4 MB	13.1 MB	3.2 KB	1260	43	7.4 MB	20 KB	28	0	/home/marthasudermann/pathogensurveillance/work/24/8056b37908b3bd18e29adaeed2dbb9	-	-
6	09/4cd07c	827575	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Pcap3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	2 GB	1	2025-06-15 21:17:53.294	2025-06-15 21:17:53.371	2025-06-15 21:18:06.963	13.7s	12.5s	-	640.3%	0.8%	1 GB	7.5 GB	1 GB	7.5 GB	4 GB	3.2 GB	337291	103607	388.1 MB	76 KB	12270	6851	/home/marthasudermann/pathogensurveillance/work/09/4cd07ccb17cfb6f39f4cf149a6e049	-	-
4	36/3294dc	827591	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Pcap1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	2 GB	1	2025-06-15 21:17:53.300	2025-06-15 21:17:53.372	2025-06-15 21:18:07.099	13.8s	12.1s	-	656.6%	0.8%	1 GB	7.7 GB	1 GB	7.7 GB	3.8 GB	3.1 GB	323577	100660	423.6 MB	76 KB	13486	14171	/home/marthasudermann/pathogensurveillance/work/36/3294dc34c82b661bf72cf8b6e33042	-	-
5	86/97f315	827583	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Pcap2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	2 GB	1	2025-06-15 21:17:53.297	2025-06-15 21:17:53.372	2025-06-15 21:18:07.207	13.9s	12.1s	-	661.0%	0.8%	1 GB	7.6 GB	1 GB	7.7 GB	3.9 GB	3.1 GB	331268	102711	665.4 MB	76 KB	13728	9723	/home/marthasudermann/pathogensurveillance/work/86/97f3155fd43d7c4126637cdbefbaa3	-	-
7	70/1f1fcd	832720	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Pcap3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.4.0--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-15 21:18:06.977	2025-06-15 21:18:07.064	2025-06-15 21:18:10.009	3s	1s	-	527.9%	0.0%	16.8 MB	4.3 GB	16.8 MB	4.3 GB	19.7 MB	7.8 KB	1925	64	100 KB	32 KB	7	0	/home/marthasudermann/pathogensurveillance/work/70/1f1fcdd95cb8e44330d6a7139e6c4a	-	-
8	88/2ce2b2	832785	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Pcap1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.4.0--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-15 21:18:07.108	2025-06-15 21:18:07.199	2025-06-15 21:18:10.173	3.1s	1s	-	374.9%	0.1%	88.1 MB	4.5 GB	88.1 MB	4.6 GB	19.7 MB	7.9 KB	1925	64	668 KB	32 KB	76	40	/home/marthasudermann/pathogensurveillance/work/88/2ce2b26977a53f5fdf7dea03f1f7ce	-	-
9	70/1650ec	832810	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Pcap2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.4.0--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-15 21:18:07.215	2025-06-15 21:18:07.307	2025-06-15 21:18:10.278	3.1s	1s	-	590.3%	0.0%	20.2 MB	4.3 GB	20.2 MB	4.3 GB	19.7 MB	7.8 KB	1925	64	0	32 KB	7	3	/home/marthasudermann/pathogensurveillance/work/70/1650ecbcf26bf5f571cee6c8f50155	-	-
20	0e/327645	834478	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Pcap2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.4.0--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-15 21:18:10.292	2025-06-15 21:18:10.378	2025-06-15 21:18:11.612	1.3s	1s	-	1169.7%	0.0%	17.2 MB	4.3 GB	17.2 MB	4.3 GB	12.1 MB	27.8 KB	1205	51	12 KB	32 KB	8	1	/home/marthasudermann/pathogensurveillance/work/0e/327645d58e7a72c0027b2e1e639129	-	-
18	27/bed2c4	834485	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Pcap3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.4.0--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-15 21:18:10.294	2025-06-15 21:18:10.378	2025-06-15 21:18:11.860	1.6s	0ms	-	1015.4%	0.0%	16 MB	4.3 GB	16 MB	4.3 GB	12.2 MB	32.5 KB	1218	52	0	36 KB	7	1	/home/marthasudermann/pathogensurveillance/work/27/bed2c48121c60adbe5ea397c62fc94	-	-
19	21/837e13	834496	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Pcap1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.4.0--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-15 21:18:10.297	2025-06-15 21:18:10.379	2025-06-15 21:18:11.958	1.7s	0ms	-	1277.3%	0.0%	16.2 MB	4.3 GB	16.2 MB	4.3 GB	12.3 MB	32.9 KB	1240	52	0	36 KB	7	2	/home/marthasudermann/pathogensurveillance/work/21/837e13d582530d428b2997caff1327	-	-
