task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
3	7f/23120c	1085929	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	phytophthora_ramorum_sub.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-07 15:33:39.092	2025-06-07 15:33:39.148	2025-06-07 15:33:41.728	2.6s	0ms	-	628.0%	0.0%	8.2 MB	92.2 MB	8.2 MB	92.2 MB	7.2 MB	2.7 KB	820	30	7.4 MB	16 KB	28	1	/home/marthasudermann/pathogensurveillance/work/7f/23120c8982e3eee7630cf4142d2b8d	-	-
5	7b/f9d5c3	1086376	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Pram2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-07 15:33:41.750	2025-06-07 15:33:41.829	2025-06-07 15:33:53.979	12.2s	10.1s	-	610.2%	0.7%	892.5 MB	4.5 GB	892.5 MB	4.6 GB	2.8 GB	2.3 GB	231235	74396	350.5 MB	80 KB	13424	3820	/home/marthasudermann/pathogensurveillance/work/7b/f9d5c3ad5b6c31acd7e773239e6ed1	-	-
6	65/43c02b	1086368	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Pram3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-07 15:33:41.747	2025-06-07 15:33:41.828	2025-06-07 15:33:54.061	12.3s	10.2s	-	598.3%	0.7%	890.6 MB	4.4 GB	890.6 MB	4.5 GB	2.8 GB	2.3 GB	233252	74129	304.4 MB	80 KB	11584	3461	/home/marthasudermann/pathogensurveillance/work/65/43c02b7a73ef45aaf089607bea1570	-	-
4	2f/aecd53	1086383	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Pram1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-07 15:33:41.753	2025-06-07 15:33:41.830	2025-06-07 15:33:54.135	12.4s	10.6s	-	590.5%	0.7%	893.7 MB	4.5 GB	893.7 MB	4.6 GB	2.8 GB	2.3 GB	230754	74175	509.2 MB	80 KB	13652	2884	/home/marthasudermann/pathogensurveillance/work/2f/aecd5328fa8f62e14d4b80728110c2	-	-
7	12/77804f	1090251	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Pram2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-07 15:33:53.993	2025-06-07 15:33:54.061	2025-06-07 15:33:56.618	2.6s	1s	-	312.1%	0.0%	20 MB	4.3 GB	20 MB	4.3 GB	13.8 MB	7.4 KB	1489	51	0	28 KB	7	1	/home/marthasudermann/pathogensurveillance/work/12/77804fab8f2c5ce7822c380704fe6c	-	-
8	7b/cb830e	1090275	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Pram3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-07 15:33:54.069	2025-06-07 15:33:54.135	2025-06-07 15:33:56.760	2.7s	2s	-	263.2%	0.1%	90.1 MB	4.5 GB	90.1 MB	4.6 GB	13.8 MB	7.4 KB	1489	51	960 KB	28 KB	70	31	/home/marthasudermann/pathogensurveillance/work/7b/cb830ea635bec7e425eec7f491b3ac	-	-
9	ce/2874c5	1090295	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Pram1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-07 15:33:54.143	2025-06-07 15:33:54.235	2025-06-07 15:33:56.952	2.8s	1s	-	373.7%	0.0%	18 MB	4.3 GB	18 MB	4.3 GB	13.8 MB	7.4 KB	1489	51	0	28 KB	7	2	/home/marthasudermann/pathogensurveillance/work/ce/2874c5e1200c6efd9049f8298f4f5b	-	-
17	95/fd7f19	1091685	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Pram3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-07 15:33:56.965	2025-06-07 15:33:57.052	2025-06-07 15:33:58.325	1.4s	0ms	-	902.8%	0.0%	16.2 MB	4.3 GB	16.2 MB	4.3 GB	6.2 MB	29.7 KB	770	38	12 KB	28 KB	8	1	/home/marthasudermann/pathogensurveillance/work/95/fd7f1998d94387c7967a7b7eb46d02	-	-
18	19/b80c5c	1091702	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Pram1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-07 15:33:56.970	2025-06-07 15:33:57.053	2025-06-07 15:33:58.468	1.5s	1s	-	564.1%	0.0%	20.2 MB	4.3 GB	20.2 MB	4.3 GB	6.2 MB	27.7 KB	770	38	0	28 KB	7	1	/home/marthasudermann/pathogensurveillance/work/19/b80c5ca36c4bb852799da9c8d859d2	-	-
16	a7/7fb292	1091692	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Pram2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-07 15:33:56.968	2025-06-07 15:33:57.053	2025-06-07 15:33:58.627	1.7s	1s	-	592.4%	0.0%	16.8 MB	4.3 GB	16.8 MB	4.3 GB	6.2 MB	29.7 KB	770	38	0	28 KB	7	2	/home/marthasudermann/pathogensurveillance/work/a7/7fb292dddf991fd852a0c149ed0b48	-	-
