task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
3	7a/d8cd20	3791377	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	plasmodium_vivax_sub.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-22 11:07:24.386	2025-05-22 11:07:24.466	2025-05-22 11:07:26.229	1.8s	0ms	-	638.2%	0.0%	15.5 MB	4.3 GB	15.5 MB	4.3 GB	7.2 MB	2.7 KB	820	30	7 MB	16 KB	9	3	/home/marthasudermann/pathogensurveillance/work/7a/d8cd20d2381e467b2e2a8291ca5d7a	-	-
4	bf/858132	3792080	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Plas1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-22 11:07:26.252	2025-05-22 11:07:26.330	2025-05-22 11:07:32.049	5.8s	4.9s	-	422.5%	0.7%	884.7 MB	4.5 GB	884.7 MB	4.6 GB	1 GB	845 MB	88627	27194	0	120 KB	1896	211	/home/marthasudermann/pathogensurveillance/work/bf/8581327776c926fccdb8ac1709aa1e	-	-
6	d3/7001d0	3792090	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Plas3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-22 11:07:26.254	2025-05-22 11:07:26.330	2025-05-22 11:07:32.280	6s	4.7s	-	441.3%	0.7%	886.7 MB	4.5 GB	886.7 MB	4.5 GB	1 GB	836.5 MB	87427	26932	0	120 KB	2309	416	/home/marthasudermann/pathogensurveillance/work/d3/7001d00cbe58ac5bc6ec4c5046c946	-	-
5	32/ab1307	3792072	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Plas2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-22 11:07:26.249	2025-05-22 11:07:26.329	2025-05-22 11:07:32.724	6.5s	4.5s	-	482.1%	0.7%	911 MB	4.6 GB	911 MB	4.6 GB	1.1 GB	922.9 MB	97022	29707	0	80 KB	1848	1129	/home/marthasudermann/pathogensurveillance/work/32/ab130751d637c4f0efced1df8764dc	-	-
7	c6/463211	3794882	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Plas1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-22 11:07:32.064	2025-05-22 11:07:32.149	2025-05-22 11:07:35.165	3.1s	1s	-	371.2%	0.0%	7 MB	92.2 MB	7 MB	92.2 MB	13.8 MB	8.6 KB	1489	51	748 KB	28 KB	10	2	/home/marthasudermann/pathogensurveillance/work/c6/463211c3a56a4633b4a3f2015029ec	-	-
9	91/993509	3795029	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Plas2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-22 11:07:32.732	2025-05-22 11:07:32.824	2025-05-22 11:07:35.608	2.9s	1s	-	292.7%	0.0%	43 MB	4.4 GB	43 MB	4.4 GB	13.8 MB	8.6 KB	1489	51	0	28 KB	5	30	/home/marthasudermann/pathogensurveillance/work/91/993509109a0c3e4dcae285fa3e8e86	-	-
8	38/09096d	3794975	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Plas3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-22 11:07:32.286	2025-05-22 11:07:32.380	2025-05-22 11:07:35.727	3.4s	1s	-	303.1%	0.0%	17.8 MB	4.3 GB	17.8 MB	4.3 GB	13.8 MB	8.6 KB	1489	51	0	28 KB	7	0	/home/marthasudermann/pathogensurveillance/work/38/09096db484d08e33e6b0aad3bae354	-	-
12	53/9d41d2	3796476	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Plas1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-22 11:07:35.740	2025-05-22 11:07:35.827	2025-05-22 11:07:37.703	2s	1s	-	732.6%	0.0%	14.5 MB	4.2 GB	14.5 MB	4.2 GB	6.1 MB	16.2 KB	748	36	12 KB	20 KB	8	2	/home/marthasudermann/pathogensurveillance/work/53/9d41d27e9312e7780a46402c1d191f	-	-
13	c0/fa7807	3796483	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Plas2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-22 11:07:35.742	2025-05-22 11:07:35.828	2025-05-22 11:07:37.791	2s	1s	-	900.3%	0.0%	36.5 MB	4.4 GB	36.5 MB	4.4 GB	6.1 MB	16.2 KB	748	36	0	20 KB	5	6	/home/marthasudermann/pathogensurveillance/work/c0/fa780788b9ca4cef2f3601c978457a	-	-
14	8c/2e4e6e	3796489	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Plas3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-22 11:07:35.744	2025-05-22 11:07:35.828	2025-05-22 11:07:37.905	2.2s	1s	-	567.4%	0.0%	50.2 MB	4.4 GB	50.2 MB	4.4 GB	6.1 MB	16.2 KB	748	36	0	20 KB	5	85	/home/marthasudermann/pathogensurveillance/work/8c/2e4e6e6ff55daa416345421367e669	-	-
