task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
2	99/d40097	3022687	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	streptomyces_olivochromogenes_sub.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-08 09:59:36.323	2025-06-08 09:59:36.343	2025-06-08 09:59:38.325	2s	0ms	-	392.6%	0.0%	3.2 MB	11.1 MB	3.2 MB	11.1 MB	7.2 MB	2.8 KB	820	30	7.3 MB	16 KB	12	1	/home/marthasudermann/pathogensurveillance/work/99/d40097c4a24061f9aee8726eff5337	-	-
4	1a/4a587e	3023726	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Solivo1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-08 09:59:38.350	2025-06-08 09:59:38.426	2025-06-08 09:59:44.387	6s	3.8s	-	280.7%	0.7%	885.8 MB	4.5 GB	885.8 MB	4.5 GB	417.5 MB	306 MB	36306	9930	4.7 MB	80 KB	421	2045	/home/marthasudermann/pathogensurveillance/work/1a/4a587e0945776ec7971aaf8149c4fe	-	-
6	7e/eb600a	3023708	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Solivo3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-08 09:59:38.344	2025-06-08 09:59:38.425	2025-06-08 09:59:44.518	6.2s	3.6s	-	318.1%	0.7%	881.6 MB	4.5 GB	881.6 MB	4.5 GB	423.1 MB	306.9 MB	37009	9955	36 KB	80 KB	554	1399	/home/marthasudermann/pathogensurveillance/work/7e/eb600ae130e25cd96ed35a0481def4	-	-
5	1a/ecc2f6	3023715	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Solivo2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-06-08 09:59:38.348	2025-06-08 09:59:38.426	2025-06-08 09:59:44.604	6.3s	3.5s	-	311.0%	0.7%	884.5 MB	4.5 GB	884.5 MB	4.5 GB	412.6 MB	300.3 MB	35994	9745	0	80 KB	614	1975	/home/marthasudermann/pathogensurveillance/work/1a/ecc2f678c04c79d1917a80f2e332cd	-	-
8	81/7bce50	3027284	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Solivo3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-08 09:59:44.526	2025-06-08 09:59:44.604	2025-06-08 09:59:47.706	3.2s	1s	-	359.2%	0.0%	14.8 MB	4.2 GB	14.8 MB	4.2 GB	13.8 MB	8.5 KB	1489	51	956 KB	28 KB	9	1	/home/marthasudermann/pathogensurveillance/work/81/7bce50b1ff0b092338babf52189de7	-	-
7	47/5268b8	3027235	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Solivo1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-08 09:59:44.407	2025-06-08 09:59:44.488	2025-06-08 09:59:47.804	3.4s	1s	-	439.2%	0.0%	20.2 MB	4.3 GB	20.2 MB	4.3 GB	13.8 MB	8.5 KB	1489	51	0	28 KB	7	3	/home/marthasudermann/pathogensurveillance/work/47/5268b86dc2b4ac8ef5e52ec5a853fb	-	-
9	4b/abd50f	3027329	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Solivo2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-06-08 09:59:44.612	2025-06-08 09:59:44.704	2025-06-08 09:59:47.925	3.3s	1s	-	482.9%	0.0%	16 MB	4.3 GB	16 MB	4.3 GB	13.8 MB	8.5 KB	1489	51	0	28 KB	7	1	/home/marthasudermann/pathogensurveillance/work/4b/abd50f67213c03ca7d65fbd65448e8	-	-
13	17/3cbee1	3029549	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Solivo1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-08 09:59:47.943	2025-06-08 09:59:48.027	2025-06-08 09:59:50.432	2.5s	0ms	-	303.5%	0.0%	32.2 MB	4.4 GB	32.2 MB	4.4 GB	10.4 MB	28.8 KB	1847	38	4.3 MB	28 KB	5	50	/home/marthasudermann/pathogensurveillance/work/17/3cbee1a46d00e208bbeaaf996d3822	-	-
12	bd/dd95b4	3029538	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Solivo3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-08 09:59:47.940	2025-06-08 09:59:48.027	2025-06-08 09:59:50.566	2.6s	0ms	-	385.4%	0.0%	25.2 MB	4.3 GB	25.2 MB	4.3 GB	10.4 MB	28.8 KB	1847	38	0	28 KB	8	6	/home/marthasudermann/pathogensurveillance/work/bd/dd95b415a7a8aa18419b08505e7446	-	-
14	cd/8fb246	3029530	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Solivo2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-06-08 09:59:47.938	2025-06-08 09:59:48.026	2025-06-08 09:59:50.654	2.7s	0ms	-	337.9%	0.0%	5.5 MB	92.2 MB	5.5 MB	92.2 MB	10.4 MB	28.8 KB	1847	38	12 KB	28 KB	8	2	/home/marthasudermann/pathogensurveillance/work/cd/8fb2465fcad64cdb779d7888d4b388	-	-
61	1a/7fc87a	3031390	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_043950205_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-08 09:59:50.762	2025-06-08 09:59:50.857	2025-06-08 09:59:55.562	4.8s	2s	-	199.1%	0.1%	113.2 MB	4.4 GB	113.2 MB	4.4 GB	62.7 MB	418.5 KB	6566	37	2.2 MB	424 KB	7	106	/home/marthasudermann/pathogensurveillance/work/1a/7fc87af28d582dc3eed48f8e1a9b3e	-	-
60	b9/155a93	3031469	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_014649875_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-08 09:59:50.772	2025-06-08 09:59:50.859	2025-06-08 09:59:55.969	5.2s	3s	-	208.0%	0.1%	114.2 MB	4.4 GB	114.2 MB	4.4 GB	62.5 MB	383.6 KB	6537	37	1.9 MB	388 KB	7	98	/home/marthasudermann/pathogensurveillance/work/b9/155a93fcad2adb73da175b7aa5ec96	-	-
77	81/5367e7	3031371	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCA_000820785_2	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-08 09:59:50.758	2025-06-08 09:59:50.856	2025-06-08 09:59:56.102	5.3s	3s	-	196.6%	0.1%	108.6 MB	4.4 GB	108.6 MB	4.4 GB	62.3 MB	327.9 KB	6531	37	1.8 MB	332 KB	7	137	/home/marthasudermann/pathogensurveillance/work/81/5367e794fb0a401de6a7f1cb222769	-	-
59	a2/5a7322	3031441	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_049534875_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-08 09:59:50.769	2025-06-08 09:59:50.858	2025-06-08 09:59:56.552	5.8s	3s	-	185.5%	0.1%	108.1 MB	4.4 GB	108.9 MB	4.4 GB	62.8 MB	446.4 KB	6575	37	2.3 MB	452 KB	7	143	/home/marthasudermann/pathogensurveillance/work/a2/5a73226ca17ae0a1fd1b6703ac46cf	-	-
55	c9/bf1530	3031414	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_014650435_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-08 09:59:50.765	2025-06-08 09:59:50.858	2025-06-08 09:59:56.780	6s	3s	-	194.5%	0.1%	109.1 MB	4.4 GB	109.1 MB	4.4 GB	62.8 MB	451.6 KB	6578	37	2.3 MB	456 KB	7	149	/home/marthasudermann/pathogensurveillance/work/c9/bf153082df2ceef8e14908196c8df9	-	-
84	23/9ad3a1	3031550	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_001879105_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-08 09:59:50.784	2025-06-08 09:59:50.859	2025-06-08 09:59:56.810	6s	4s	-	172.8%	0.1%	108.7 MB	4.4 GB	109.1 MB	4.4 GB	61.9 MB	266.2 KB	6464	37	1.4 MB	272 KB	7	79	/home/marthasudermann/pathogensurveillance/work/23/9ad3a13ee2ae50be34bab32d533a11	-	-
71	c2/7c26dd	3031505	NFCORE_PATHOGENSURVEILLANCE:SKETCH_COMPARISON:SOURMASH_SKETCH	GCF_016906185_1	COMPLETED	0	-	quay.io/biocontainers/sourmash:4.8.14--hdfd78af_0	1	4h	-	8 GB	1	2025-06-08 09:59:50.778	2025-06-08 09:59:50.859	2025-06-08 09:59:57.368	6.6s	4s	-	172.9%	0.1%	107.3 MB	4.4 GB	108.2 MB	4.4 GB	62.6 MB	408.9 KB	6550	37	2.1 MB	416 KB	7	85	/home/marthasudermann/pathogensurveillance/work/c2/7c26dd761af691b67abc38939b55fa	-	-
