task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
2	46/0f5bde	2484817	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	ustilago_maydis_sub.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-26 12:57:35.693	2025-05-26 12:57:35.771	2025-05-26 12:57:37.736	2s	1s	-	493.4%	0.0%	14 MB	4.2 GB	14 MB	4.2 GB	7.2 MB	2.7 KB	820	30	7 MB	16 KB	9	2	/home/marthasudermann/pathogensurveillance/work/46/0f5bdea32f3fed764a203ac42ba14e	-	-
5	9e/1de544	2485506	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Umay2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-26 12:57:37.761	2025-05-26 12:57:37.838	2025-05-26 12:57:44.550	6.8s	4.6s	-	335.9%	0.7%	891.1 MB	4.5 GB	891.1 MB	4.6 GB	658.9 MB	536.2 MB	56340	17312	112.5 MB	76 KB	1550	2344	/home/marthasudermann/pathogensurveillance/work/9e/1de5444abd36988cb27718efe1390c	-	-
6	21/7eda22	2485489	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Umay3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-26 12:57:37.756	2025-05-26 12:57:37.837	2025-05-26 12:57:44.663	6.9s	4.9s	-	310.5%	0.7%	887.4 MB	4.5 GB	887.4 MB	4.6 GB	658.8 MB	536 MB	55936	17307	116.5 MB	76 KB	1440	2937	/home/marthasudermann/pathogensurveillance/work/21/7eda2273e7f605d28a633e4893f19a	-	-
4	47/e55d5f	2485497	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Umay1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-26 12:57:37.759	2025-05-26 12:57:37.837	2025-05-26 12:57:44.863	7.1s	4.8s	-	337.0%	0.7%	886.4 MB	4.5 GB	886.4 MB	4.5 GB	657 MB	536.2 MB	54924	17308	110.5 MB	76 KB	4730	4016	/home/marthasudermann/pathogensurveillance/work/47/e55d5f508d911b54de20a2fa5593ae	-	-
8	f4/18c024	2488410	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Umay3	FAILED	1	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-26 12:57:44.672	2025-05-26 12:57:44.763	2025-05-26 12:57:46.422	1.8s	1.7s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	/home/marthasudermann/pathogensurveillance/work/f4/18c024f3c9d0187a4d2b93180d5e19	-	RETRY
7	e9/044f25	2488373	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Umay2	FAILED	1	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-26 12:57:44.564	2025-05-26 12:57:44.651	2025-05-26 12:57:46.564	2s	1.9s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	/home/marthasudermann/pathogensurveillance/work/e9/044f25f65bb2f84ab31d2375e81dda	-	RETRY
9	6f/6692fc	2488486	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Umay1	FAILED	1	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-26 12:57:44.871	2025-05-26 12:57:44.963	2025-05-26 12:57:46.671	1.8s	1.7s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	/home/marthasudermann/pathogensurveillance/work/6f/6692fccd25ba49d4d9bbd6b585b6fa	-	RETRY
11	22/8567bf	2489590	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Umay2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	2 GB	2	2025-05-26 12:57:46.570	2025-05-26 12:57:46.664	2025-05-26 12:58:13.932	27.4s	1s	-	291.7%	0.0%	17 MB	4.3 GB	17 MB	4.3 GB	13.8 MB	7.7 KB	1486	49	208 KB	24 KB	7	1	/home/marthasudermann/pathogensurveillance/work/22/8567bf6747763df7d92f868239230a	-	-
12	d6/ecb986	2489621	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Umay1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	2 GB	2	2025-05-26 12:57:46.678	2025-05-26 12:57:46.770	2025-05-26 12:58:14.030	27.4s	1s	-	410.8%	0.0%	17 MB	4.3 GB	17 MB	4.3 GB	13.8 MB	7.9 KB	1486	49	0	24 KB	7	2	/home/marthasudermann/pathogensurveillance/work/d6/ecb986da979fbfe49012258e0cba24	-	-
10	81/bfc4fb	2489557	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Umay3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	2 GB	2	2025-05-26 12:57:46.433	2025-05-26 12:57:46.515	2025-05-26 12:58:14.145	27.7s	1s	-	270.1%	0.0%	60.8 MB	4.4 GB	60.8 MB	4.4 GB	13.8 MB	7.7 KB	1486	49	88 KB	24 KB	20	7	/home/marthasudermann/pathogensurveillance/work/81/bfc4fb747d6f225923dbee8026ac90	-	-
