task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
2	8f/0db8ee	3122694	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	xanthomonas_hortorum_sub.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-20 16:26:43.446	2025-05-20 16:26:43.513	2025-05-20 16:26:45.393	1.9s	1s	-	640.0%	0.0%	21.2 MB	4.3 GB	21.2 MB	4.3 GB	7.2 MB	2.7 KB	820	30	0	16 KB	7	1	/home/marthasudermann/pathogensurveillance/work/8f/0db8eed6b1ff29bdce3206437cfbd8	-	-
6	3c/d265fe	3123459	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Xan3	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-20 16:26:45.417	2025-05-20 16:26:45.495	2025-05-20 16:26:48.599	3.2s	2.2s	-	265.0%	0.7%	856.9 MB	4.4 GB	856.9 MB	4.4 GB	206.9 MB	160.2 MB	20108	5258	0	108 KB	13	1	/home/marthasudermann/pathogensurveillance/work/3c/d265fe927866191bf238fb544e9914	-	-
5	ef/f13cdf	3123440	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Xan2	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-20 16:26:45.411	2025-05-20 16:26:45.494	2025-05-20 16:26:48.810	3.4s	2s	-	290.8%	0.7%	858.1 MB	4.4 GB	858.1 MB	4.4 GB	206.5 MB	160.2 MB	20147	5262	0	92 KB	13	0	/home/marthasudermann/pathogensurveillance/work/ef/f13cdf2368da0539769e23fbf53e1f	-	-
4	0a/7ce09e	3123451	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	Xan1	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-20 16:26:45.415	2025-05-20 16:26:45.494	2025-05-20 16:26:49.073	3.7s	2s	-	284.7%	0.7%	866.3 MB	4.5 GB	866.3 MB	4.6 GB	213.8 MB	166.4 MB	21317	5459	0	80 KB	13	1	/home/marthasudermann/pathogensurveillance/work/0a/7ce09e1cbf86a6f2e50f99e07927f2	-	-
7	59/0c003a	3125231	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Xan3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-20 16:26:48.613	2025-05-20 16:26:48.699	2025-05-20 16:26:50.784	2.2s	1s	-	396.1%	0.0%	15.8 MB	4.3 GB	15.8 MB	4.3 GB	13.8 MB	8.6 KB	1489	51	0	28 KB	7	0	/home/marthasudermann/pathogensurveillance/work/59/0c003a98ce1d181b4bd8d0b605abc6	-	-
8	bf/fbf89a	3125329	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Xan2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-20 16:26:48.817	2025-05-20 16:26:48.910	2025-05-20 16:26:51.399	2.6s	1s	-	390.5%	0.0%	20.2 MB	4.3 GB	20.2 MB	4.3 GB	13.8 MB	8.5 KB	1489	51	0	28 KB	7	1	/home/marthasudermann/pathogensurveillance/work/bf/fbf89a3a187ab820b8bf96305a6c8f	-	-
9	3c/8c62ee	3125412	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	Xan1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-20 16:26:49.080	2025-05-20 16:26:49.174	2025-05-20 16:26:51.734	2.7s	1s	-	392.5%	0.0%	15.2 MB	4.3 GB	15.2 MB	4.3 GB	13.8 MB	8.5 KB	1489	51	0	28 KB	7	1	/home/marthasudermann/pathogensurveillance/work/3c/8c62ee4e26bcee1dacfe9ba7571e55	-	-
14	f3/d9a2d7	3126950	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Xan1	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-20 16:26:51.751	2025-05-20 16:26:51.835	2025-05-20 16:26:53.358	1.6s	0ms	-	573.9%	0.0%	13.8 MB	4.2 GB	13.8 MB	4.2 GB	9.3 MB	34.7 KB	1542	39	0	32 KB	7	2	/home/marthasudermann/pathogensurveillance/work/f3/d9a2d7672a107ed4ec177dc32c7033	-	-
12	5b/3c1576	3126962	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Xan3	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-20 16:26:51.754	2025-05-20 16:26:51.835	2025-05-20 16:26:53.565	1.8s	1s	-	363.7%	0.0%	24 MB	4.3 GB	24 MB	4.3 GB	9.3 MB	34.7 KB	1542	39	0	32 KB	7	4	/home/marthasudermann/pathogensurveillance/work/5b/3c157600fcb4523c8b03758b4a1476	-	-
13	96/877840	3126942	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	Xan2	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-20 16:26:51.749	2025-05-20 16:26:51.834	2025-05-20 16:26:53.673	1.9s	1s	-	337.9%	0.0%	24 MB	4.3 GB	24 MB	4.3 GB	9.3 MB	34.7 KB	1542	39	0	32 KB	7	6	/home/marthasudermann/pathogensurveillance/work/96/8778404d4ac22140bf6e8ed29759d2	-	-
