"sample_id"	"name"	"description"	"path"	"path_2"	"ncbi_accession"	"ncbi_query"	"ncbi_query_max"	"sequence_type"	"report_group_ids"	"color_by"	"ploidy"	"enabled"	"ref_contextual_usage"	"ref_enabled"	"sra_2"	"Organism"	"Platform"	"ReleaseDate"	"Sample.Name"	"SRA.Study"	"Sample_Name"	"strain"	"geo_loc_name_country"	"geo_loc_name_country_continent"	"geographic_location_.country_and.or_sea."	"Serovar"	"specific_host"	"Collection_Date"	"host_health_state"	"isolation_source"	"ENA_first_public"	"ENA_last_update"	"external_id"	"Scientific_Name"	"Submitter_Id"	"SRA_accession"	"Title"	"ref_ids"
"ERR025108"	"ERR025108"	"ERR025108"	""	""	"ERR025108"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882167"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882167"	"ERP000165"	"AJ256-sc-2010-05-07-30786"	"AJ256"	"Australia"	"Oceania"	"Australia"	"AJ256"	"Homo sapiens"	"2002"	"diseased"	"urine"	"2010-03-08T08:58:25Z"	"2018-03-09T09:52:02Z"	"SAMEA882167"	"Klebsiella pneumoniae"	"AJ256-sc-2010-05-07-30786"	""	""	""
"ERR024851"	"ERR024851"	"ERR024851"	""	""	"ERR024851"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882202"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882202"	"ERP000165"	"AJ158-sc-2010-05-07-30772"	"AJ158"	"Australia"	"Oceania"	"Australia"	"AJ158"	"Homo sapiens"	"2002"	"diseased"	"urine"	"2010-03-08T08:57:59Z"	"2018-03-09T09:52:01Z"	"SAMEA882202"	"Klebsiella pneumoniae"	"AJ158-sc-2010-05-07-30772"	""	""	""
"ERR025620"	"ERR025620"	"ERR025620"	""	""	"ERR025620"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882017"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882017"	"ERP000165"	"ERS012008"	"QMP Z4-702"	"USA"	"North America"	"USA"	"QMP Z4-702"	"Bovine"	"2006"	"diseased"	"sterile"	""	""	""	""	""	"ERS012008"	"Klebsiella pneumoniae"	""
"ERR025639"	"ERR025639"	"ERR025639"	""	""	"ERR025639"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA881991"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA881991"	"ERP000165"	"09_309B-sc-2010-06-22-227748"	"09-309B"	"Viet Nam"	"Asia"	"Viet Nam"	"09-309B"	"Homo sapiens"	"2009"	"diseased"	"respiratory"	"2011-02-14T17:17:44Z"	"2018-03-09T09:52:29Z"	"SAMEA881991"	"Klebsiella pneumoniae"	"09_309B-sc-2010-06-22-227748"	""	""	""
"ERR025518"	"ERR025518"	"ERR025518"	""	""	"ERR025518"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882086"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882086"	"ERP000165"	"EW_67_R_MAC-sc-2010-06-22-227588"	"EW-67-R-MAC"	"Viet Nam"	"Asia"	"Viet Nam"	"EW-67-R-MAC"	"Homo sapiens"	"2006"	"healthy"	"intestinal"	"2011-02-14T17:17:43Z"	"2018-03-09T09:52:29Z"	"SAMEA882086"	"Klebsiella pneumoniae"	"EW_67_R_MAC-sc-2010-06-22-227588"	""	""	""
"ERR025116"	"ERR025116"	"ERR025116"	""	""	"ERR025116"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882230"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882230"	"ERP000165"	"ERS011916"	"DM17337/04"	"Singapore"	"Asia"	"Singapore"	"DM17337/04"	"Homo sapiens"	"2004"	"diseased"	"respiratory"	""	""	""	""	""	"ERS011916"	"Klebsiella pneumoniae"	""
"ERR025132"	"ERR025132"	"ERR025132"	""	""	"ERR025132"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882143"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882143"	"ERP000165"	"QMP_M1_031-sc-2010-06-22-227664"	"QMP M1-031"	"USA"	"North America"	"USA"	"QMP M1-031"	"Bovine"	"2005"	"healthy"	"intestinal"	"2011-02-14T17:17:44Z"	"2018-03-09T09:52:29Z"	"SAMEA882143"	"Klebsiella pneumoniae"	"QMP_M1_031-sc-2010-06-22-227664"	""	""	""
"ERR024824"	"ERR024824"	"ERR024824"	""	""	"ERR024824"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882278"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882278"	"ERP000165"	"AJ006-sc-2010-05-07-30747"	"AJ006"	"Australia"	"Oceania"	"Australia"	"AJ006"	"Homo sapiens"	"2001"	"diseased"	"sterile"	"2010-03-08T08:57:13Z"	"2018-03-09T09:52:02Z"	"SAMEA882278"	"Klebsiella pneumoniae"	"AJ006-sc-2010-05-07-30747"	""	""	""
"ERR025536"	"ERR025536"	"ERR025536"	""	""	"ERR025536"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882181"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882181"	"ERP000165"	"QMP_B2_252-sc-2010-06-22-227617"	"QMP B2-252"	"USA"	"North America"	"USA"	"QMP B2-252"	"Bovine"	"2006"	"healthy"	"intestinal"	"2011-02-14T17:17:44Z"	"2018-03-09T09:52:29Z"	"SAMEA882181"	"Klebsiella pneumoniae"	"QMP_B2_252-sc-2010-06-22-227617"	""	""	""
"ERR025655"	"ERR025655"	"ERR025655"	""	""	"ERR025655"	""	"10"	"illumina"	"_no_group_defined_"	"geo_loc_name_country"	"1"	"TRUE"	"optional"	"TRUE"	"SAMEA882065"	"Klebsiella pneumoniae"	"ILLUMINA"	"2011-03-18T00:00:00Z"	"SAMEA882065"	"ERP000165"	"ERS012030"	"558m"	"Viet Nam"	"Asia"	"Viet Nam"	"558m"	"Homo sapiens"	"2009"	"diseased"	"sterile"	""	""	""	""	""	"ERS012030"	"Klebsiella pneumoniae"	""
