task_id	hash	native_id	process	tag	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	workdir	scratch	error_action
1	14/402939	186570	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:SAMPLESHEET_CHECK	input_data_subset.csv	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-28 21:54:18.408	2025-05-28 21:54:18.503	2025-05-28 21:54:20.045	1.6s	0ms	-	659.6%	0.0%	18 MB	4.3 GB	18 MB	4.3 GB	7.3 MB	3.7 KB	839	30	0	16 KB	7	1	/home/marthasudermann/pathogensurveillance/work/14/402939ab993074c61ca3f00c18a36a	-	-
9	6a/cf0253	187003	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	ERR025112	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-28 21:54:20.075	2025-05-28 21:54:20.146	2025-05-28 21:54:24.719	4.6s	3.4s	-	242.2%	0.7%	886.6 MB	4.5 GB	886.6 MB	4.5 GB	494.4 MB	375.4 MB	43189	12151	106.8 MB	92 KB	214	15	/home/marthasudermann/pathogensurveillance/work/6a/cf02537c110f8cccc503de7ad33acc	-	-
8	c5/5e884b	186996	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	ERR025675	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-28 21:54:20.072	2025-05-28 21:54:20.146	2025-05-28 21:54:26.049	6s	5s	-	313.2%	0.7%	913.4 MB	4.6 GB	913.4 MB	4.6 GB	1.2 GB	997.6 MB	107133	32071	4.7 MB	132 KB	649	23	/home/marthasudermann/pathogensurveillance/work/c5/5e884bdcc8283ef7a8f6aaa17588de	-	-
7	c2/e1d132	187010	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:BBMAP_SENDSKETCH	ERR025470	COMPLETED	0	-	community.wave.seqera.io/library/bbmap_pigz:07416fe99b090fa9	1	1h	-	1 GB	1	2025-05-28 21:54:20.077	2025-05-28 21:54:20.147	2025-05-28 21:54:26.143	6.1s	4.2s	-	288.9%	0.7%	887.3 MB	4.6 GB	887.3 MB	4.6 GB	976.5 MB	752.8 MB	81362	24235	211.5 MB	108 KB	208	17	/home/marthasudermann/pathogensurveillance/work/c2/e1d1321f3a3424729cab128f80b89d	-	-
10	c5/543123	188725	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	ERR025112	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-28 21:54:24.731	2025-05-28 21:54:24.819	2025-05-28 21:54:26.920	2.2s	1s	-	391.3%	0.0%	18.2 MB	4.3 GB	18.2 MB	4.3 GB	13.8 MB	9.9 KB	1489	51	0	28 KB	7	1	/home/marthasudermann/pathogensurveillance/work/c5/543123d1217fbdb0fa3d543b0733df	-	-
11	5f/2a4e66	189349	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	ERR025675	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-28 21:54:26.057	2025-05-28 21:54:26.143	2025-05-28 21:54:28.352	2.3s	0ms	-	432.4%	0.0%	18 MB	4.3 GB	18 MB	4.3 GB	13.8 MB	9.8 KB	1489	51	0	28 KB	7	3	/home/marthasudermann/pathogensurveillance/work/5f/2a4e660eb603d2cd76fe11c6449d53	-	-
12	17/5a2bbc	189369	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:INITIAL_CLASSIFICATION	ERR025470	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	1h	-	1 GB	1	2025-05-28 21:54:26.150	2025-05-28 21:54:26.243	2025-05-28 21:54:28.541	2.4s	1s	-	501.4%	0.0%	29.5 MB	4.3 GB	29.5 MB	4.3 GB	13.8 MB	9.9 KB	1489	51	0	28 KB	7	2	/home/marthasudermann/pathogensurveillance/work/17/5a2bbc49b980a3b369c11c2eb0bfc0	-	-
16	41/cc84c1	190509	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	ERR025675	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-28 21:54:28.561	2025-05-28 21:54:28.642	2025-05-28 21:55:20.510	51.9s	51s	-	102.8%	0.8%	981.4 MB	5.3 GB	981.4 MB	5.3 GB	220.6 MB	43.4 KB	55640	40	0	36 KB	11	194	/home/marthasudermann/pathogensurveillance/work/41/cc84c1cfc2b07ccf349948bfecd9dc	-	-
15	34/e66e52	190499	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	ERR025112	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-28 21:54:28.558	2025-05-28 21:54:28.642	2025-05-28 21:55:20.915	52.4s	51s	-	101.8%	0.8%	985.7 MB	5.3 GB	985.7 MB	5.3 GB	220.6 MB	43.4 KB	55640	40	0	36 KB	9	183	/home/marthasudermann/pathogensurveillance/work/34/e66e529264b2e17b99a1d046599ee1	-	-
17	03/6bcccc	190492	NFCORE_PATHOGENSURVEILLANCE:PREPARE_INPUT:PICK_ASSEMBLIES	ERR025470	COMPLETED	0	-	quay.io/biocontainers/r-pathosurveilr:0.3.1--r44hdfd78af_0	1	2h	-	4 GB	1	2025-05-28 21:54:28.555	2025-05-28 21:54:28.641	2025-05-28 21:55:21.017	52.5s	51s	-	102.3%	0.8%	986.6 MB	5.3 GB	986.6 MB	5.3 GB	220.6 MB	43.4 KB	55640	40	0	36 KB	14	930	/home/marthasudermann/pathogensurveillance/work/03/6bcccc0497f186a1d4b17ee2dc3e3d	-	-
