
Query: SRR12574847_1.fastq.gz	DB: RefSeq	SketchLen: 40511	Seqs: 2272611 	Bases: 343164261	gSize: 5777047	GC: 0.637	Quality: 0.9226	AvgCount: 42.439	Depth: 42.439	File: SRR12574847_1.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
83.19%	47.65%	99.34%	.	0	100.00%	7.08%	0.66%	0.64%	17102	0.00e+00	46.89	46.73	905.0	50.94	19302	178	17158	20624	3507	40511	1132508	-1	5257136	5257105	5229076	1	0.640	23202	40511	23202	40511	2868	Mycobacteroides abscessus UC22	.	tid|1132508|NZ_CP012044.1 Mycobacterium abscessus UC22, complete genome	sk:Bacteria;p:Actinobacteria;c:Actinomycetia;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacteroides;s:Mycobacteroides abscessus
3.56%	2.46%	89.15%	.	0	92.17%	36.28%	0.40%	0.69%	1111	0.00e+00	51.57	14.65	51.36	87.53	996	15	546	20624	2347	40511	83262	-1	96984K	96954K	8991126	958	0.642	28006	40511	28006	40511	14699	Mycobacteroides immunogenum	.	tid|83262|NZ_JXUU01000008.1 Mycobacteroides immunogenum strain SMUC14 PROKKA_contig000008, whole genome shotgun sequence	sk:Bacteria;p:Actinobacteria;c:Actinomycetia;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacteroides;s:Mycobacteroides immunogenum
2.72%	2.01%	88.56%	.	0	92.33%	31.68%	0.32%	0.59%	1004	0.00e+00	50.85	13.82	41.45	80.73	815	0	421	20624	1984	40511	948102	-1	56532K	56515K	11076K	286	0.642	29977	40511	29977	40511	12834	Mycobacteroides franklinii	.	tid|948102|NZ_PECB01000003.1 Mycobacteroides franklinii strain CCUG 64054 CCUG64054_contig000003, whole genome shotgun sequence	sk:Bacteria;p:Actinobacteria;c:Actinomycetia;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacteroides;s:Mycobacteroides franklinii
3.05%	1.94%	88.29%	.	0	89.63%	42.94%	0.48%	0.84%	884.1	0.00e+00	47.97	14.79	37.76	98.98	787	2	330	20624	2773	40511	1578165	-1	19855K	19848K	7122581	209	0.646	25791	40511	25791	40511	17395	Mycobacteroides saopaulense	.	tid|1578165|NZ_CP010271.1 Mycobacterium sp. EPM10906, complete genome	sk:Bacteria;p:Actinobacteria;c:Actinomycetia;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacteroides;s:Mycobacteroides saopaulense
3.67%	2.15%	88.66%	.	0	84.48%	50.54%	0.61%	1.03%	863.7	0.00e+00	47.15	47.08	41.07	89.16	871	0	131	20624	3360	40511	1720569	-1	5588459	5587374	5552080	35	0.639	23717	40511	23717	40511	20476	Mycobacteroides sp. H003	.	tid|1720569|NZ_LJYL01000011.1 Mycobacteroides sp. H003 H003_contig000011, whole genome shotgun sequence	sk:Bacteria;p:Actinobacteria;c:Actinomycetia;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacteroides;s:Mycobacteroides sp. H003
3.64%	2.14%	88.64%	.	0	84.70%	50.31%	0.60%	1.02%	862.8	0.00e+00	47.18	47.11	40.86	89.53	866	0	131	20624	3343	40511	1720576	-1	5620117	5618319	5590344	58	0.639	23765	40511	23765	40511	20383	Mycobacteroides sp. HXVII	.	tid|1720576|NZ_LJYS01000001.1 Mycobacteroides sp. HXVII HXVII_contig000001, whole genome shotgun sequence	sk:Bacteria;p:Actinobacteria;c:Actinomycetia;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacteroides;s:Mycobacteroides sp. HXVII
3.58%	2.11%	88.58%	.	0	85.21%	49.74%	0.60%	1.01%	861.3	0.00e+00	47.16	47.08	40.32	90.09	855	0	127	20624	3295	40511	1720573	-1	5715094	5712118	5685313	96	0.639	23895	40511	23895	40511	20149	Mycobacteroides sp. H092	.	tid|1720573|NZ_LJYP01000022.1 Mycobacteroides sp. H092 H092_contig000022, whole genome shotgun sequence	sk:Bacteria;p:Actinobacteria;c:Actinomycetia;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacteroides;s:Mycobacteroides sp. H092
3.57%	2.11%	88.57%	.	0	85.24%	49.68%	0.60%	1.01%	860.4	0.00e+00	47.17	47.09	40.24	90.23	853	0	126	20624	3289	40511	1720572	-1	5726565	5723651	5696113	94	0.639	23915	40511	23915	40511	20125	Mycobacteroides sp. H079	.	tid|1720572|NZ_LJYO01000005.1 Mycobacteroides sp. H079 H079_contig000005, whole genome shotgun sequence	sk:Bacteria;p:Actinobacteria;c:Actinomycetia;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacteroides;s:Mycobacteroides sp. H079
3.57%	2.11%	88.57%	.	0	85.24%	49.69%	0.60%	1.01%	860.4	0.00e+00	47.17	47.09	40.24	90.23	853	0	126	20624	3289	40511	1720577	-1	5724611	5721604	5695122	97	0.639	23913	40511	23913	40511	20128	Mycobacteroides sp. HXXIII	.	tid|1720577|NZ_LJYT01000055.1 Mycobacteroides sp. HXXIII HXXIII_contig000055, whole genome shotgun sequence	sk:Bacteria;p:Actinobacteria;c:Actinomycetia;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacteroides;s:Mycobacteroides sp. HXXIII
3.57%	2.11%	88.57%	.	0	85.24%	49.69%	0.60%	1.01%	860.4	0.00e+00	47.17	47.09	40.24	90.23	853	0	126	20624	3290	40511	1720574	-1	5723221	5720524	5694192	87	0.639	23911	40511	23911	40511	20129	Mycobacteroides sp. H101	.	tid|1720574|NZ_LJYQ01000048.1 Mycobacteroides sp. H101 H101_contig000048, whole genome shotgun sequence	sk:Bacteria;p:Actinobacteria;c:Actinomycetia;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacteroides;s:Mycobacteroides sp. H101
